Zone, 250C11, 500C11, WrPr11, OtPk11, BkSc11
Zone, 2011_250m_car_share, 2011_500m_car_share, 2011_work_parking, 2011_nonwork_parking, 2011_bike_score
24030, 0, 2, 0.45, 0.25, 4
24040, 0, 1, 0.4, 0.25, 3
24050, 0, 1, 0.3, 0.35, 3
24060, 0, 2, 0.3, 0.35, 3
24070, 0, 2, 0.4, 0.35, 3
24080, 0, 2, 0, 0.25, 3
24090, 0, 1, 0, 0.25, 3
24100, 0, 2, 0.3, 0.25, 3
24110, 0, 2, 0.3, 0.25, 3
24120, 0, 1, 0.3, 0.25, 3
24130, 1, 2, 0.45, 0.25, 4
24140, 0, 0, 0.2, 0.35, 3
24150, 0, 0, 0.2, 0.35, 3
24160, 0, 0, 0.2, 0.35, 3
24170, 0, 1, 0.2, 0.25, 3
24180, 1, 1, 0.2, 0.25, 3
24190, 1, 1, 0.2, 0.25, 3
24200, 0, 1, 0.2, 0.25, 3
24210, 0, 0, 0.3, 0.25, 4
24220, 0, 0, 0.3, 0.25, 4
24230, 1, 1, 0.45, 0.25, 4
24240, 0, 0, 0.3, 0.25, 4
24250, 1, 1, 0.45, 0.25, 4
24260, 1, 1, 0.4, 0.35, 4
24270, 1, 1, 0.4, 0.35, 4
24280, 0, 1, 0.4, 0.35, 4
24290, 0, 0, 0.4, 0.35, 3
24300, 0, 0, 0.2, 0.35, 3
24310, 0, 0, 0.4, 0.35, 3
24320, 0, 1, 0.45, 0.25, 4
24330, 1, 1, 0, 0.25, 3
24340, 0, 0, 0.4, 0.35, 4
24350, 0, 1, 0.4, 0.35, 4
24360, 0, 1, 0.4, 0.25, 3
24370, 0, 1, 0.4, 0.25, 3
24380, 1, 1, 0.2, 0.25, 4
24390, 0, 0, 0.2, 0.25, 4
24400, 1, 1, 0.4, 0.35, 4
24410, 1, 1, 0.4, 0.25, 3
24420, 1, 1, 0.4, 0.25, 3
24430, 1, 1, 0.2, 0.25, 3
24440, 0, 1, 0.2, 0.25, 3
24450, 1, 1, 0.2, 0.25, 3
24460, 1, 1, 0.2, 0.25, 3
24470, 0, 1, 0.2, 0.25, 3
25010, 0, 1, 0.3, 0.25, 3
25020, 0, 1, 0.3, 0.25, 3
25030, 1, 1, 0.3, 0.25, 3
25040, 1, 2, 0.3, 0.25, 4
25050, 1, 1, 0.3, 0.35, 3
25060, 1, 1, 0.3, 0.35, 3
25070, 0, 0, 0.3, 0.35, 3
25080, 0, 0, 0.4, 0.25, 3
25090, 1, 2, 0.45, 0.25, 3
25100, 1, 1, 0.3, 0.25, 3
25110, 1, 2, 0.45, 0.25, 3
25120, 1, 2, 0.3, 0.25, 4
25130, 1, 2, 0.3, 0.25, 4
25140, 1, 2, 0.3, 0.35, 4
25150, 1, 1, 0.3, 0.35, 3
25160, 1, 2, 0.3, 0.25, 3
25170, 1, 2, 0.3, 0.25, 3
25180, 1, 2, 0.3, 0.25, 3
25190, 1, 2, 0.3, 0.25, 3
25200, 1, 2, 0.3, 0.25, 3
25210, 1, 2, 0.3, 0.25, 3
25220, 1, 2, 0.3, 0.25, 4
25230, 1, 2, 0.3, 0.25, 4
25240, 1, 2, 0.3, 0.35, 4
25250, 1, 1, 0.3, 0.35, 3
25260, 0, 0, 0.3, 0.35, 3
25270, 0, 0, 0.4, 0.25, 3
25280, 0, 2, 0.3, 0.25, 3
25290, 1, 2, 0.3, 0.25, 3
25300, 0, 0, 0.4, 0.35, 3
25310, 1, 2, 0.3, 0.25, 3
25320, 1, 2, 0.3, 0.25, 3
25330, 2, 3, 0.2, 0.25, 4
25340, 2, 3, 0.2, 0.25, 4
25350, 2, 3, 0.4, 0.35, 3
25360, 1, 2, 0.4, 0.35, 3
25370, 0, 1, 0.4, 0.35, 3
25380, 1, 2, 0.3, 0.25, 3
25390, 0, 0, 0.4, 0.35, 3
25400, 2, 3, 0.3, 0.25, 3
25410, 2, 3, 0.3, 0.35, 4
25420, 2, 3, 0.3, 0.35, 4
25430, 1, 3, 0.2, 0.25, 3
25440, 1, 2, 0.2, 0.25, 3
25450, 0, 0, 0.3, 0.25, 3
25460, 0, 0, 0.3, 0.25, 3
25470, 2, 3, 0.3, 0.25, 3
25480, 1, 3, 0.3, 0.25, 3
25490, 2, 3, 0.3, 0.25, 3
25500, 2, 3, 0.3, 0.35, 4
25510, 1, 1, 0.3, 0.25, 3
25520, 2, 3, 0.3, 0.25, 4
25530, 2, 3, 0.3, 0.25, 4
