mat_id,mo50,mo60,mo61,mo69,mo70,mo71,mo80
mat_name,areahc,prk2hr,prk8hr,railStn,cs250,cs500,bikesc
mat_desc,taz_a_area_hec,parkingcost2hr,parkingcost8hr,railstationinzone,car_share_250m,car_share_500m,bikescore
TAZ1700,Hectares,parking_two_hr_rate,parking_eight_hr_rate,rail_stn_dummy,car_share_250m,car_share_500m,bike_score_taz
24160,39.97252,0,0,0,0,0,3
24170,46.40096,0,0,0,0,2,3
24180,43.64611,0,0,0,1,2,3
24190,46.96265,0,0,0,1,2,3
24200,48.56918,0,0,0,0,2,3
24210,68.55319,0,0,0,0,1,4
24220,19.89367,5.240545,6.290344,1,0,1,4
24230,44.28208,0,0,0,1,2,4
24240,52.97686,0,0,1,0,1,4
24250,44.50379,0,0,0,1,2,4
24260,63.74269,0,0,0,1,2,4
24270,30.35391,0,0,0,1,2,4
24280,50.12671,0,0,0,0,2,4
24290,69.766,0,0,0,0,1,3
24300,187.8453,0,0,0,0,0,3
24310,69.42545,0,0,0,0,1,3
24320,96.6539,6.036825,6.660797,0,0,2,4
24330,153.1451,0,0,0,1,1,3
24340,40.14231,0,0,0,0,1,4
24350,43.9207,0,0,0,0,2,4
24360,54.0354,0,0,0,0,2,3
24370,62.01446,0,0,0,0,2,3
24380,51.75566,0,0,0,1,2,4
24390,20.49927,0,0,0,0,1,4
24400,30.20955,0,0,0,1,2,4
24410,37.64117,0,0,0,1,2,3
24420,47.25985,0,0,0,1,2,3
24430,37.45789,0,0,0,1,2,3
24440,13.65413,0,0,0,0,2,3
24450,48.34501,0,0,0,1,2,3
24460,80.24223,4.661036,5.803244,1,1,2,3
24470,38.31875,4.560305,0,0,0,2,3
25010,8.963637,0,0,0,0,2,3
25020,63.3427,0,0,0,0,1,3
25030,51.80278,0,0,0,1,2,3
25040,22.83293,0,0,0,1,2,4
25050,39.62428,0,0,0,1,2,3
25060,41.96165,0,0,0,1,2,3
25070,110.0933,0,0,0,0,1,3
25080,61.61387,0,0,0,0,1,3
25090,15.07063,5.824067,6.971975,0,1,2,3
25100,15.87306,6.171737,7.230423,0,1,1,3
25110,15.38825,0,0,0,1,2,3
25120,21.56769,0,0,0,1,2,4
25130,20.12232,0,0,0,1,2,4
25140,20.70016,0,0,0,1,2,4
25150,36.64717,0,0,0,1,2,3
25160,9.676369,6.345386,7.486328,0,1,2,3
25170,13.40622,5.764875,0,0,1,2,3
25180,14.38825,0,0,0,1,2,3
25190,17.46706,0,0,0,1,2,3
25200,12.32597,0,0,0,1,2,3
25210,14.53979,0,0,0,1,2,3
25220,25.71949,0,0,0,1,2,4
25230,17.29518,0,0,0,1,2,4
25240,33.44243,0,0,0,1,2,4
25250,45.63447,4.992663,6.186474,0,1,2,3
25260,37.86713,0,0,0,0,1,3
25270,24.08688,0,0,0,0,1,3
25280,14.1586,6.844216,7.80245,0,0,2,3
25290,16.40747,5.749429,6.95368,0,1,2,3
25300,21.92528,0,0,0,0,1,3
25310,21.55162,5.500777,0,0,1,2,3
25320,17.29825,5.498984,6.659749,0,1,2,3
25330,44.39505,5.224919,0,0,2,3,4
25340,22.29672,5.242334,6.425367,0,2,3,4
25350,52.09114,0,0,0,2,3,3
25360,70.85783,0,0,0,1,2,3
25370,91.97324,0,0,0,0,2,3
25380,34.34564,7.182402,7.67685,0,1,2,3
25390,18.52908,0,0,0,0,1,3
25400,85.49276,7.227879,7.702841,1,2,3,3
25410,28.00357,5.17417,0,0,2,3,4
25420,22.80521,5.121829,6.305299,1,2,3,4
25430,54.38401,0,0,0,1,3,3
25440,75.43525,0,0,0,1,2,3
25450,38.82946,0,0,0,0,1,3
25460,16.45569,0,0,0,0,1,3
25470,16.92828,5.66608,6.827408,0,2,3,3
25480,26.92053,5.247401,0,0,1,3,3
25490,30.63921,6.679398,7.234582,0,2,3,3
25500,17.25528,5.178589,6.365399,0,2,3,4
25510,65.80986,0,0,0,1,2,3
25520,6.397171,5.672193,6.802048,1,2,3,4
25530,19.88401,5.379047,0,0,2,3,4
25540,26.00012,0,0,0,2,3,4
25550,17.03087,0,0,0,2,3,4
25560,11.83329,5.017275,6.185052,1,2,3,4
25570,20.95732,0,0,0,2,3,3
25580,41.38428,4.861338,6.035443,1,1,2,3
25590,12.47284,5.933554,6.804196,0,1,2,4
25600,19.99843,0,0,0,1,2,4
25610,38.38622,4.819812,5.952143,1,0,1,4
25620,21.83971,5.39236,6.558455,0,2,3,4
25630,10.87542,5.355769,0,0,1,3,4
25640,29.31294,0,0,0,2,3,4
25650,16.15335,0,0,0,2,3,4
25660,32.29305,0,0,0,1,2,4
25670,66.39131,0,0,0,1,2,4
25680,67.09525,0,0,0,2,3,4
25690,38.29404,0,0,0,1,2,4
25700,29.67439,0,0,0,1,2,4
25710,33.12924,0,0,0,0,2,4
25720,34.45364,0,0,0,0,1,4
25730,62.25397,0,0,0,0,1,4
25740,36.99435,0,0,0,1,2,4
25750,33.7225,0,0,0,1,2,4
25760,22.08944,0,0,0,1,2,4
25770,29.26435,0,0,0,1,2,4
25780,26.94651,0,0,0,1,2,4
25790,29.02839,0,0,0,1,2,4
25800,34.37919,4.667228,5.849098,1,1,2,4
25810,37.65517,0,0,0,0,1,4
25820,40.26879,0,0,0,0,1,4
25830,51.04367,0,0,0,0,1,4
25840,29.70546,0,0,0,1,2,4
25850,44.41927,0,0,0,1,2,4
25860,42.26292,0,0,0,1,2,4
25870,51.90501,0,0,0,1,2,4
25880,41.48069,0,0,0,0,2,4
25890,16.93362,0,0,0,1,2,4
25900,25.86704,0,0,0,0,1,4
25910,25.3343,0,0,0,0,1,4
25920,18.08049,0,0,0,0,2,4
26010,32.46978,0,0,0,0,1,4
26020,20.094,0,0,1,0,2,4
26030,33.35024,0,0,1,2,3,4
26040,66.78667,0,0,0,1,2,4
26050,34.49374,0,0,0,0,2,4
26060,47.71134,0,0,0,0,2,4
26070,30.88488,0,0,0,0,1,3
26080,22.69694,0,0,0,0,1,3
26090,34.85973,0,0,0,0,2,4
26100,27.99779,0,0,0,2,3,4
26110,40.10714,0,0,0,2,3,4
26120,38.39415,0,0,0,0,1,3
26130,33.90737,0,0,0,0,1,3
26140,32.95776,0,0,0,0,1,4
26150,17.41823,0,0,0,0,1,4
26160,8.443442,0,0,0,2,3,4
26170,12.97644,0,0,0,0,2,4
26180,17.57713,0,0,0,2,3,4
26190,12.5725,0,0,0,2,3,4
26200,32.73465,0,0,0,1,2,4
26210,40.47377,0,0,0,0,1,4
26220,28.87397,0,0,0,0,1,3
26230,34.21336,0,0,0,0,1,4
26240,34.5998,0,0,0,0,3,4
26250,20.01376,0,0,0,0,1,4
26260,32.6434,0,0,0,1,2,4
26270,40.34873,0,0,0,0,1,4
26280,33.12693,0,0,0,0,1,4
26290,36.2939,0,0,0,0,1,3
26300,39.11166,0,0,0,0,1,3
26310,48.1695,0,0,0,0,1,3
26320,35.0742,0,0,0,0,1,3
26330,42.47577,0,0,0,0,1,3
26340,32.70337,0,0,0,0,2,4
26350,37.84131,0,0,0,0,1,4
26360,31.56021,0,0,0,0,1,4
26370,29.6388,0,0,0,0,1,3
26380,42.89847,0,0,0,0,1,3
26390,50.40882,0,0,0,0,1,3
26400,32.47675,0,0,0,0,1,3
26410,30.70731,0,0,0,0,1,4
26420,40.62865,0,0,0,0,1,4
26430,37.2113,0,0,0,0,1,3
26440,30.7182,0,0,0,0,1,4
26450,45.43266,0,0,0,0,1,4
26460,34.31862,0,0,0,0,1,4
26470,29.239,0,0,0,0,1,4
26480,40.97065,0,0,0,0,1,3
26490,41.39655,0,0,0,0,1,3
26500,34.78115,0,0,0,0,1,4
26510,143.3282,0,0,0,0,1,3
26520,100.6632,0,0,0,0,1,3
26530,58.19769,0,0,0,0,1,3
26540,52.64969,0,0,0,0,1,3
26550,57.92856,0,0,0,0,1,4
26560,32.12663,0,0,0,0,1,5
26570,58.91943,0,0,0,0,1,3
26580,27.01789,0,0,0,0,1,5
26590,39.18897,0,0,0,0,1,5
26600,37.59634,0,0,0,0,1,5
27010,112.1232,0,0,0,0,0,3
27020,70.61561,0,0,0,0,0,3
27030,109.3492,0,0,0,0,0,3
27040,113.5898,0,0,0,0,0,3
27050,16.43933,0,0,0,0,0,3
27060,46.91467,0,0,0,0,0,3
27070,33.82769,0,0,0,0,0,3
27080,40.37885,0,0,0,1,1,3
27090,57.67622,0,0,0,1,1,3
27100,44.31567,0,0,0,0,0,3
27110,39.44648,0,0,0,0,1,3
27120,48.59674,0,0,0,1,2,3
27130,64.08357,0,0,0,1,1,3
27140,72.19106,0,0,0,0,0,3
27150,69.58891,0,0,0,0,0,3
27160,801.6654,6.51,6.51,0,2,2,3
27170,98.42282,6.51,6.51,0,2,2,3
27180,25.31445,0,0,0,0,1,3
27190,63.88617,0,0,0,0,1,3
27200,63.16087,0,0,0,1,1,3
27210,37.09516,0,0,0,0,0,3
27220,38.8961,0,0,0,0,0,3
27230,64.70836,0,0,0,0,0,3
27240,96.96157,0,0,0,0,0,3
27250,90.50795,0,0,0,0,0,3
27260,33.26719,0,0,0,0,1,3
27270,35.03694,4.843637,8.67,0,1,2,3
27280,15.35924,4.89269,5.981562,0,1,2,3
27290,115.8816,0,0,0,1,1,3
27300,26.24781,0,5.902511,0,0,2,3
27310,7.627904,4.932983,10.46,1,0,1,3
27320,8.832056,4.747787,0,0,1,2,3
27330,8.603068,4.908584,5.974092,1,1,2,3
27340,7.856528,0,0,0,1,2,3
27350,22.75266,0,0,0,1,2,3
27360,19.21038,4.528781,5.662002,1,0,0,3
27370,42.57967,0,0,0,0,0,3
27380,90.74333,0,0,0,0,0,3
27390,127.1072,0,0,0,0,0,3
27400,21.52274,0,0,0,0,0,4
27410,115.0371,0,0,0,0,0,4
27420,19.97086,4.638466,0,0,1,2,3
27430,10.95626,4.654605,0,0,1,2,3
27440,18.4116,0,0,0,0,2,3
27450,15.82641,0,0,0,0,0,3
27460,30.55386,0,0,0,1,1,3
27470,34.59044,0,0,0,1,1,3
27480,65.11315,0,0,0,0,1,3
27490,68.24279,0,0,0,0,0,3
27500,20.58751,0,0,1,0,0,4
27510,70.84753,0,0,1,0,0,3
27520,97.23054,4.292822,5.416746,1,0,0,3
27530,71.48652,0,0,0,0,0,4
27540,81.66113,0,0,0,0,0,4
27550,131.2207,0,0,0,0,0,3
27560,23.46423,0,0,0,0,0,4
27570,67.89175,0,0,0,0,0,4
27580,34.11707,0,0,0,0,0,4
27590,67.53101,0,0,0,0,0,4
27600,31.38424,0,0,0,0,0,4
27610,20.32016,0,0,0,0,1,5
27620,27.90896,4.336424,5.415608,1,1,1,5
27630,18.99617,0,0,0,0,0,4
27640,46.80881,0,0,0,0,0,4
27650,86.15837,0,0,0,1,1,5
27660,423.9149,0,0,0,0,0,4
28010,37.45859,0,0,0,1,1,3
28020,18.10826,4.897652,5.971123,0,1,1,3
28030,27.24003,4.827121,6.49,0,0,0,3
28040,88.85098,0,0,0,0,0,3
28050,52.22525,7.1,6.588658,0,0,2,3
28060,69.2394,0,0,0,0,1,3
28070,64.79319,6.012438,6.570743,0,0,2,3
28080,69.5919,7.6,8.6,0,0,0,3
28090,86.90599,0,0,0,0,0,3
28100,33.90647,0,0,0,0,0,3
28110,101.0816,0,0,0,0,0,3
28120,48.58657,0,0,0,0,1,3
28130,49.38439,0,0,0,0,1,3
28140,39.9551,0,0,0,0,0,4
28150,47.44593,0,0,0,0,0,3
28160,120.2137,0,0,0,0,1,4
28170,34.73029,4.637924,5.771865,0,0,2,3
28180,36.49603,0,0,0,0,2,3
28190,73.09351,0,0,0,0,1,3
28200,226.5126,0,0,0,0,0,3
28210,46.70782,0,0,0,0,0,4
28220,65.78262,0,0,0,0,0,4
28230,90.17464,0,0,0,0,0,3
28240,17.70998,4.655003,5.770803,1,1,2,3
28250,8.492385,4.776469,5.865885,0,0,2,3
28260,61.00291,0,0,0,0,2,3
28270,99.72742,0,0,0,0,0,4
28280,72.68155,0,0,0,0,0,4
28290,34.65709,4.664971,5.764943,0,1,3,3
28300,115.9734,0,0,0,0,1,4
28310,77.33517,0,0,0,0,1,4
28320,107.6164,0,0,0,1,2,3
28330,21.42759,7.32,9.3,0,2,3,3
28340,96.91958,0,0,0,0,1,4
28350,23.8874,0,0,0,0,1,4
28360,11.76886,0,0,0,1,3,3
28370,30.35136,4.452289,5.606346,1,1,3,3
28380,21.32169,4.739304,5.813818,0,1,3,3
28390,16.81336,4.575444,5.677811,0,0,2,3
28400,80.94044,0,0,0,0,2,4
28410,13.7212,0,0,0,0,1,4
28420,11.88126,4.546868,0,0,0,1,3
28430,34.11967,0,0,0,0,2,4
