mat_id,mo10,mo11,mo12,mo13,mo14,mo15,mo16,mo17,mo18,mo20,mo21,mo22,mo23,mo24,mo25,mo26,mo27,mo30,mo31,mo32,mo40,mo41,mo42,mo43,mo44
mat_name,TotPop,Pop0t4,Pop5t12,Pop13t17,Pop18t24,Pop25t34,Pop35t54,Pop55t64,Pop65Up,TotEmp,EmpConMfg,EmpFire,EmpTcuWh,EmpRet,EmpBoS,EmpAcFoInCu,EmpHeEdPuAd,EnrolElem,EnrolSec,EnrolPsFte,TotHh,Hh1p,Hh2p,Hh3p,Hh4pUp
mat_desc,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,Construct_Mfg,FIRE,TCU_Wholesale,Retail,Business_OtherServices,AccomFood_InfoCult,Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HHOLDS_Total,HHOLDS_1Person,HHOLDS_2Person,HHOLDS_3Person,HHOLDS_4plusPerson
TAZ1700,POP_Total,POP_0to4,POP_5to12,POP_13to17,POP_18to24,POP_25to34,POP_35to54,POP_55to64,POP_65plus,EMP_Total,EMP_Construct_Mfg,EMP_FIRE,EMP_TCU_Wholesale,EMP_Retail,EMP_Business_OtherServices,EMP_AccomFood_InfoCult,EMP_Health_Educat_PubAdmin,Elementary_Enrolment,Secondary_Enrolment,PostSecFTE,HH_Total,HH_1Person,HH_2Person,HH_3Person,HH_4plusPerson
52040,2965.245,86.56807,208.2005,175.9277,276.6342,228.7072,859.3906,460.39,669.4265,357.6911,46.12569,86.1733,44.84959,10.39262,82.92403,25.82135,61.40448,0,0,0,959.6559,119.8604,293.6125,223.9701,322.2128
52050,3242.76,137.5746,235.9759,192.3496,263.2068,337.1735,989.5898,351.2441,735.6457,373.3382,42.19868,90.29159,43.60049,46.24949,43.96563,16.31513,90.71716,296,0,0,1025.338,132.0953,307.3202,202.3417,383.5804
52060,2984.104,107.4732,209.2618,171.8963,273.4994,210.6938,896.817,422.5778,691.8849,424.4099,20.6361,23.31373,17.91424,20.58111,215.84,50.26341,75.86124,0,0,0,960.7916,141.5784,272.854,210.481,335.8782
52070,3005.423,116.5741,239.9472,204.2897,186.5217,303.5177,833.5797,408.4285,712.5639,346.7364,40.39123,46.83466,18.60831,10.54193,74.39275,42.35197,113.6155,390,0,0,967.5739,172.6177,260.7756,168.4588,365.7217
52080,2995.857,114.5891,246.6344,210.3673,244.3767,275.0227,878.5674,279.2632,747.0361,453.4747,51.09286,55.18846,48.72491,28.15767,59.41488,19.23546,191.6605,0,951,0,908.079,81.02193,276.4677,190.7495,359.8399
52090,3977.824,136.7523,394.8305,256.7756,276.7089,356.5038,1316.644,565.6063,674.003,359.9912,59.31746,10.82779,40.66843,15.60515,106.2871,49.79705,77.48824,265,0,0,1357.487,295.2675,334.0522,290.5237,437.6437
52100,988.8674,31.232,93.50988,58.32056,60.86207,82.88758,318.0204,146.3664,197.6686,208.6371,11.87924,10.62998,10.87969,53.18725,33.91,10.22675,77.92418,0,0,0,438.7539,123.8547,175.7299,100.1403,39.02905
52110,3819.218,128.568,317.71,190.1556,266.5801,300.5379,1172.746,508.9898,933.9308,428.7939,46.84496,35.87386,12.20059,23.90044,114.5243,16.40644,179.0433,380,0,0,1404.986,384.6857,397.9062,230.7191,391.6753
52120,3374.649,156.5845,348.5287,164.2867,273.0445,320.1933,961.5425,538.9652,611.5035,407.2259,80.40798,38.67321,40.95206,10.4472,138.8699,17.18367,80.6919,451,0,0,1046.46,67.30766,355.667,249.1726,374.3131
52130,3270.558,97.85394,221.3225,211.2618,299.5929,311.2061,953.3505,627.1008,548.8691,397.8962,15.86779,91.98543,14.82192,17.28719,65.01467,45.9363,146.9829,380,0,0,977.0801,64.83308,296.1734,223.503,392.5707
52140,2487.573,99.34063,203.9456,134.345,190.0751,211.2887,669.3141,363.252,616.0115,260.5632,15.14051,20.2148,16.73112,18.45671,43.60346,18.50273,127.9139,0,1329,0,791.3187,107.3552,191.3651,223.6667,268.9317
52150,2999.072,50.72918,189.0805,156.74,244.6203,236.9024,775.9556,434.4142,910.6301,684.1633,24.49109,125.8032,15.75959,177.0988,113.5381,107.6291,119.8435,225,0,0,1036.61,198.3524,336.5514,177.6257,324.0805
52160,6688.634,216.8804,501.8851,477.0445,508.1144,568.8268,2018.999,779.7253,1617.158,1072.655,80.79933,88.20173,64.98063,54.12042,226.5238,40.3658,517.6628,926,1055,0,2265.002,499.7463,636.5957,424.0752,704.5848
52170,2989.672,136.8435,250.167,181.7301,288.6241,309.8629,927.6155,440.0999,454.729,334.5099,57.79243,35.65414,10.88119,15.42097,131.2359,16.20121,67.32416,193,0,0,893.3055,92.12981,235.5168,188.5008,377.1581
52180,3208.872,190.8846,255.8391,128.6897,193.7514,424.5336,778.6228,367.3456,869.2054,357.0692,75.58789,16.25299,28.42098,39.19458,96.91012,15.30493,85.39777,172,0,0,986.7643,115.4088,326.61,135.5361,409.2094
52190,4603.575,255.7246,461.7616,240.3051,263.9803,322.0011,1436.531,631.4749,991.7966,580.3169,33.1466,50.64952,68.12453,38.1517,179.0945,61.58932,149.5608,451,0,0,1834.377,615.5989,495.6046,300.3026,422.8707
52200,4169.81,186.3279,396.06,250.2638,237.0744,278.765,1291.557,474.0515,1055.711,629.8195,39.65452,45.23857,11.0595,25.68004,137.5826,82.91962,287.6847,0,1426,0,1393.554,337.5327,391.1792,245.0493,419.7923
52210,3180.808,110.0575,263.8203,201.6281,240.9673,163.8154,844.6244,541.2852,814.6097,369.4246,41.81548,56.68698,10.87243,21.54905,160.7152,15.85106,61.93445,525,0,0,1060.737,126.2291,427.4208,202.444,304.6432
52220,0,0,0,0,0,0,0,0,0,7698.486,2429.833,116.4164,1521.961,1233.703,1271.668,600.7564,524.147,0,0,0,0,0,0,0,0
52230,231.4447,7.433641,8.376229,7.175935,6.207949,6.739946,109.7972,70.09271,15.62107,1555.071,88.50709,54.43292,51.85829,306.9028,242.9314,616.0758,194.3632,0,0,0,107.5907,42.38909,44.58903,3.364846,17.24776
52240,2370.458,78.62443,107.2484,75.44418,146.7557,191.2228,603.6598,387.4268,780.0763,379.2351,43.82439,47.37698,10.86071,10.68015,128.0856,73.49452,64.91273,0,0,0,1058.44,326.698,455.7263,100.5576,175.4577
52250,331.3909,6.112045,7.022473,17.65931,32.30256,30.99845,75.02512,75.65374,86.61723,253.9611,35.04749,21.49067,18.08401,14.33114,51.73993,29.41468,83.8532,0,0,0,107.4073,15.01961,41.27517,8.809452,42.30306
52260,240.9323,6.407783,7.400975,12.5192,22.82484,21.96732,53.37669,54.03379,62.40171,774.221,373.5403,16.84121,80.81306,81.29321,83.50341,95.9702,42.25959,0,0,0,76.42986,15.61518,22.53956,5.233585,33.04153
52270,4113.654,267.3615,343.733,162.7785,152.6253,548.0634,1430.484,493.5635,715.0449,834.355,304.373,51.53299,80.01613,10.45738,139.5337,59.2718,189.17,691,0,0,1699.88,521.0189,570.9611,258.1409,349.7586
53010,0,0,0,0,0,0,0,0,0,248.3736,32.34831,10.59699,130.6196,9.99103,42.62002,9.752412,12.44525,0,0,0,0,0,0,0,0
