purpose,geo,gb_i,IX,mode,peakperiod,direction,shares
hbu,A,3,IX,Rail,PM,AtoP,0.099269
hbu,A,4,IX,Rail,PM,AtoP,0.099269
hbu,A,5,IX,Rail,PM,AtoP,0.099269
hbu,A,9999,IX,Transit,MD,PtoA,0.019583
hbu,A,9999,IX,Transit,MD,AtoP,0.016916
hbw,N,9999,IX,Active,AM,PtoA,0.150186
hbw,N,9999,IX,Active,AM,AtoP,0.001071
hbw,N,9999,IX,Active,MD,PtoA,0.013646
hbw,N,9999,IX,Active,MD,AtoP,0.016511
hbw,N,9999,IX,Active,PM,PtoA,0.007804
hbw,N,9999,IX,Active,PM,AtoP,0.114699
hbw,N,9999,IX,Auto,AM,PtoA,0.150387
hbw,N,9999,IX,Auto,AM,AtoP,0.001866
hbw,N,9999,IX,Auto,MD,PtoA,0.010229
hbw,N,9999,IX,Auto,MD,AtoP,0.011008
hbw,N,9999,IX,Auto,PM,PtoA,0.004813
hbw,N,9999,IX,Auto,PM,AtoP,0.108602
hbw,N,1,IX,Bus,AM,PtoA,0.177494
hbw,N,2,IX,Bus,AM,PtoA,0.159761
hbw,N,3,IX,Bus,AM,PtoA,0.150814
hbw,N,1,IX,Bus,AM,AtoP,0.002854
hbw,N,2,IX,Bus,AM,AtoP,0.002569
hbw,N,3,IX,Bus,AM,AtoP,0.002425
hbw,N,1,IX,Bus,PM,PtoA,0.006462
hbw,N,2,IX,Bus,PM,PtoA,0.006462
hbw,N,3,IX,Bus,PM,PtoA,0.006462
hbw,N,1,IX,Bus,PM,AtoP,0.128064
hbw,N,2,IX,Bus,PM,AtoP,0.128064
hbw,N,3,IX,Bus,PM,AtoP,0.128064
hbw,N,1,IX,Rail,AM,PtoA,0.186441
hbw,N,2,IX,Rail,AM,PtoA,0.159761
hbw,N,3,IX,Rail,AM,PtoA,0.159761
hbw,N,1,IX,Rail,AM,AtoP,0.002998
hbw,N,2,IX,Rail,AM,AtoP,0.002569
hbw,N,3,IX,Rail,AM,AtoP,0.002569
hbw,N,1,IX,Rail,PM,PtoA,0.006798
hbw,N,2,IX,Rail,PM,PtoA,0.006462
hbw,N,3,IX,Rail,PM,PtoA,0.006462
hbw,N,1,IX,Rail,PM,AtoP,0.134734
hbw,N,2,IX,Rail,PM,AtoP,0.128064
hbw,N,3,IX,Rail,PM,AtoP,0.128064
hbw,N,9999,IX,Transit,MD,PtoA,0.011946
hbw,N,9999,IX,Transit,MD,AtoP,0.005467
hbw,N,9999,IX,WCE,AM,PtoA,0.19956
hbw,N,9999,IX,WCE,PM,PtoA,0.003501
hbw,N,9999,IX,WCE,PM,AtoP,0.176539
hbw,S,9999,IX,Active,AM,PtoA,0.120231
hbw,S,9999,IX,Active,AM,AtoP,0.002145
hbw,S,9999,IX,Active,MD,PtoA,0.016591
hbw,S,9999,IX,Active,MD,AtoP,0.031856
hbw,S,9999,IX,Active,PM,PtoA,0.008351
hbw,S,9999,IX,Active,PM,AtoP,0.104928
hbw,S,9999,IX,Auto,AM,PtoA,0.127509
hbw,S,9999,IX,Auto,AM,AtoP,0.002096
hbw,S,9999,IX,Auto,MD,PtoA,0.011846
hbw,S,9999,IX,Auto,MD,AtoP,0.010807
hbw,S,9999,IX,Auto,PM,PtoA,0.009064
hbw,S,9999,IX,Auto,PM,AtoP,0.107822
hbw,S,4,IX,Bus,AM,PtoA,0.113071
hbw,S,5,IX,Bus,AM,PtoA,0.119779
hbw,S,4,IX,Bus,AM,AtoP,0.003631
hbw,S,5,IX,Bus,AM,AtoP,0.003846
hbw,S,4,IX,Bus,PM,PtoA,0.000454
hbw,S,5,IX,Bus,PM,PtoA,0.000454
hbw,S,4,IX,Bus,PM,AtoP,0.129564
hbw,S,5,IX,Bus,PM,AtoP,0.129564
hbw,S,4,IX,Rail,AM,PtoA,0.126487
hbw,S,5,IX,Rail,AM,PtoA,0.119779
hbw,S,4,IX,Rail,AM,AtoP,0.004061
hbw,S,5,IX,Rail,AM,AtoP,0.003846
hbw,S,4,IX,Rail,PM,PtoA,0.000454
hbw,S,5,IX,Rail,PM,PtoA,0.000454
hbw,S,4,IX,Rail,PM,AtoP,0.129564
hbw,S,5,IX,Rail,PM,AtoP,0.129564
hbw,S,9999,IX,Transit,MD,PtoA,0.015698
hbw,S,9999,IX,Transit,MD,AtoP,0.001523
hbw,S,9999,IX,WCE,AM,PtoA,0.138183
hbw,S,9999,IX,WCE,PM,AtoP,0.155449
nhbo,A,9999,IX,Active,AM,PtoA,0.023988
nhbo,A,9999,IX,Active,MD,PtoA,0.081471
nhbo,A,9999,IX,Active,PM,PtoA,0.08067
nhbo,A,9999,IX,Auto,AM,PtoA,0.033075
nhbo,A,9999,IX,Auto,MD,PtoA,0.081879
nhbo,A,9999,IX,Auto,PM,PtoA,0.069194
nhbo,A,1,IX,Bus,AM,PtoA,0.011489
