c Emme Modeller - Matrix Transaction
c Date: 2016-01-24 12:16:36
c Project:        TL_RTM_Release_2015_01.00 [2011 Base Case]                  
t matrices
a matrix=mo54   s-0--   0.0 Segment W0                              
   gy01    all  1207.622
   gy02    all  1166.062
   gy03    all  888.2992
   gy04    all  2766.035
   gy05    all  1346.892
   gy06    all  901.1901
   gy07    all  1057.206
   gy08    all   507.838
   gy09    all  1641.019
   gy10    all  1183.883
   gy11    all  417.6659
   gy12    all  1054.493
   gy13    all  287.0717
   gy14    all  1140.485
a matrix=mo103   s213-   0.0 Segment H2W1H                           
   gy01    all  667.5356
   gy02    all  1677.333
   gy03    all  2118.171
   gy04    all  5900.694
   gy05    all  1642.392
   gy06    all  1657.515
   gy07    all  1805.907
   gy08    all  634.7593
   gy09    all  4064.912
   gy10    all  1089.785
   gy11    all  771.6451
   gy12    all  1350.422
   gy13    all  388.1526
   gy14    all  1227.132
a matrix=mo104   s223-   0.0 Segment H2W2H                           
   gy01    all   1381.73
   gy02    all  4678.183
   gy03    all  4204.924
   gy04    all  15663.01
   gy05    all  7858.971
   gy06    all  5354.545
   gy07    all  3384.337
   gy08    all  1186.595
   gy09    all   8594.75
   gy10    all  2050.443
   gy11    all   2532.45
   gy12    all  3325.237
   gy13    all  1561.547
   gy14    all  4506.504
a matrix=mo105   s303-   0.0 Segment H3W0H                           
   gy01    all  69.65019
   gy02    all  124.9726
   gy03    all  6.473273
   gy04    all  184.0731
   gy05    all   113.852
   gy06    all  29.43634
   gy07    all  73.03627
   gy08    all  24.05551
   gy09    all  75.34387
   gy10    all  143.1609
   gy11    all  10.65697
   gy12    all  27.41238
   gy13    all  8.723528
   gy14    all  11.30047
a matrix=mo106   s313-   0.0 Segment H3W1H                           
   gy01    all  356.3974
   gy02    all  688.8633
   gy03    all  737.5283
   gy04    all  2421.902
   gy05    all  818.9648
   gy06    all  645.9706
   gy07    all  1132.782
   gy08    all  326.2533
   gy09    all  1476.488
   gy10    all  518.8817
   gy11    all  275.5616
   gy12    all  507.8782
   gy13    all  88.21416
   gy14    all  352.6809
a matrix=mo107   s323-   0.0 Segment H3W2H                           
   gy01    all  912.5572
   gy02    all  3113.172
   gy03    all   1035.57
   gy04    all   8219.87
   gy05    all  3962.588
   gy06    all  3095.764
   gy07    all  2441.067
   gy08    all  641.2008
   gy09    all  5130.254
   gy10    all  1270.655
   gy11    all  1272.842
   gy12    all   1690.53
   gy13    all  503.9158
   gy14    all  2448.793
a matrix=mo108   s333-   0.0 Segment H3W3H                           
   gy01    all  649.9944
   gy02    all  1205.924
   gy03    all   168.363
   gy04    all  1939.378
   gy05    all  1128.686
   gy06    all  1911.902
   gy07    all  1216.669
   gy08    all  337.7326
   gy09    all  3055.008
   gy10    all   496.517
   gy11    all  750.4043
   gy12    all  1717.032
   gy13    all  620.6221
   gy14    all  2058.564
a matrix=mo109   s403-   0.0 Segment H4+W0H                          
   gy01    all   55.6499
   gy02    all  42.15027
   gy03    all  3.963372
   gy04    all  189.3888
   gy05    all  49.85124
   gy06    all  10.73965
   gy07    all  47.42823
   gy08    all  17.14508
   gy09    all  85.51154
   gy10    all  109.7153
   gy11    all  7.690966
   gy12    all  27.87981
   gy13    all  4.505279
   gy14    all  3.798768
a matrix=mo110   s413-   0.0 Segment H4+W1H                          
   gy01    all  1190.238
   gy02    all  1461.762
   gy03    all  425.8443
   gy04    all  3916.003
   gy05    all   1273.48
   gy06    all  1523.473
   gy07    all  1466.906
   gy08    all  495.7648
   gy09    all  2490.497
   gy10    all  769.3765
   gy11    all  713.7889
   gy12    all  692.8967
   gy13    all  203.7582
   gy14    all  688.5739
a matrix=mo111   s423-   0.0 Segment H4+W2H                          
   gy01    all  1825.229
   gy02    all  4689.045
   gy03    all  929.7965
   gy04    all  12016.62
   gy05    all  6758.612
   gy06    all  6109.531
   gy07    all  3698.926
   gy08    all  1361.839
   gy09    all  11981.11
   gy10    all  3881.245
   gy11    all  2352.438
   gy12    all  3297.609
   gy13    all  1381.532
   gy14    all  4502.845
a matrix=mo112   s433-   0.0 Segment H4+W3+H                         
   gy01    all  546.0857
   gy02    all  2368.188
   gy03    all  143.1346
   gy04    all  5609.846
   gy05    all  2810.667
   gy06    all  4217.333
   gy07    all  3640.534
   gy08    all  1102.648
   gy09    all  8379.041
   gy10    all  875.2521
   gy11    all  1762.299
   gy12    all  2430.168
   gy13    all  996.5719
   gy14    all  3431.317
a matrix=mo113   s1010   0.0 Segment H1W0LA0                         
   gy01    all  381.4646
   gy02    all  1248.057
   gy03    all  4074.746
   gy04    all  7888.356
   gy05    all  3252.043
   gy06    all   974.794
   gy07    all  888.8084
   gy08    all  213.7486
   gy09    all  1424.802
   gy10    all  585.0335
   gy11    all  493.6069
   gy12    all  714.6194
   gy13    all  362.6433
   gy14    all  1609.878
a matrix=mo114   s1110   0.0 Segment H1W1LA0                         
   gy01    all  161.2065
   gy02    all  726.2442
   gy03    all  5454.647
   gy04    all  7254.006
   gy05    all   2379.23
   gy06    all  612.2966
   gy07    all  435.1237
   gy08    all  48.21496
   gy09    all  945.3406
   gy10    all  155.5288
   gy11    all  197.7445
   gy12    all  266.6581
   gy13    all  74.81109
   gy14    all  427.8153
