c Emme Module:    3.14(v15101)  Date: 14-08-30 12:25   User: E496/HFA......none
c Project:        2011_DB_Assigning_FMS                                       
t matrices
 gg19 gg4:0.321771762525474
 gg19 gg5:0.965315287576422
 gg19 gg6:4.50480467535664
 gg19 gg7:1.2870870501019
 gg19 gg8:3.91488977739327
 gg19 gg9:0.268143135437895
 gg19 gg10:0.214514508350316
 gg19 gg11:0.589914897963369
 gg19 gg12:1.34071567718948
 gg19 gg13:8.58058033401264
 gg19 gg14:7.18623602973559
 gg19 gg15:5.78382352941177
 gg19 gg16:4.50480467535664
 gg19 gg17:0.160885881262737
 gg19 gg18:0.160885881262737
 gg19 gg19:10.8866112987785
 gg19 gg20:2.73505998146653
 gg19 gg21:2.09151645641558
 gg19 gg22:0.429029016700632
 gg19 gg23:1.07257254175158
 gg19 gg24:0.804429406313685
 gg19 gg25:0.482657643788211
 gg19 gg26:0.804429406313685
 gg19 gg27:3.16408899816716
 gg20 gg1:9.08307692307692
 gg20 gg2:3.2146875
 gg20 gg4:0.107257254175158
 gg20 gg5:0.750800779226106
 gg20 gg6:2.62780272729137
 gg20 gg7:0.697172152138527
 gg20 gg8:0.429029016700632
 gg20 gg9:0.268143135437895
 gg20 gg10:0.107257254175158
 gg20 gg11:0.214514508350316
 gg20 gg12:0.53628627087579
 gg20 gg13:3.86126115030569
 gg20 gg14:6.54269250468464
 gg20 gg15:6.34963235294118
 gg20 gg16:1.39434430427705
 gg20 gg17:0.53628627087579
 gg20 gg18:0.643543525050948
 gg20 gg19:9.7067815028518
 gg20 gg20:5.79189172545853
 gg20 gg21:0.911686660488843
 gg20 gg22:0.53628627087579
 gg20 gg23:0.482657643788211
 gg20 gg24:0.965315287576422
 gg20 gg25:1.2870870501019
 gg20 gg26:2.25240233767832
 gg20 gg27:2.94957448981685
 gg21 gg1:1.98692307692308
 gg21 gg2:2.075625
 gg21 gg4:0.053628627087579
 gg21 gg5:0.160885881262737
 gg21 gg6:2.68143135437895
 gg21 gg7:2.037887829328
 gg21 gg8:0.429029016700632
 gg21 gg9:0
 gg21 gg10:0.053628627087579
 gg21 gg11:0.053628627087579
 gg21 gg12:0.965315287576422
 gg21 gg13:7.18623602973559
 gg21 gg14:3.91488977739327
 gg21 gg15:4.40073529411765
 gg21 gg16:2.037887829328
 gg21 gg17:0.321771762525474
 gg21 gg18:0.375400389613053
 gg21 gg19:1.34071567718948
 gg21 gg20:0.965315287576422
 gg21 gg21:2.19877371059074
 gg21 gg22:1.66248743971495
 gg21 gg23:0.321771762525474
 gg21 gg24:0.321771762525474
 gg21 gg25:0.107257254175158
 gg21 gg26:1.87700194806527
 gg21 gg27:1.12620116883916
 gg22 gg1:1.41923076923077
 gg22 gg2:0.961875
 gg22 gg4:0.107257254175158
 gg22 gg5:0.053628627087579
 gg22 gg6:0.321771762525474
 gg22 gg7:0.214514508350316
 gg22 gg8:0.214514508350316
 gg22 gg9:0.053628627087579
 gg22 gg10:0.053628627087579
 gg22 gg11:0
 gg22 gg12:0.107257254175158
 gg22 gg13:0.750800779226106
 gg22 gg14:0.858058033401264
 gg22 gg15:0.691544117647059
 gg22 gg16:0.214514508350316
 gg22 gg17:0
 gg22 gg18:0
 gg22 gg19:0.160885881262737
 gg22 gg20:0.589914897963369
 gg22 gg21:0.482657643788211
 gg22 gg22:1.17982979592674
 gg22 gg23:0
 gg22 gg24:0
 gg22 gg25:0.107257254175158
 gg22 gg26:1.12620116883916
 gg22 gg27:0.589914897963369
 gg23 gg1:2.34173076923077
 gg23 gg2:1.2909375
 gg23 gg4:0
 gg23 gg5:0.321771762525474
 gg23 gg6:0.643543525050948
 gg23 gg7:0.375400389613053
 gg23 gg8:0.214514508350316
 gg23 gg9:0.375400389613053
 gg23 gg10:0.160885881262737
 gg23 gg11:0.160885881262737
 gg23 gg12:0.321771762525474
 gg23 gg13:1.12620116883916
 gg23 gg14:2.52054547311621
 gg23 gg15:5.34375
 gg23 gg16:2.09151645641558
 gg23 gg17:0
 gg23 gg18:1.12620116883916
 gg23 gg19:1.23345842301432
 gg23 gg20:2.89594586272927
 gg23 gg21:0.482657643788211
 gg23 gg22:0.375400389613053
 gg23 gg23:0.804429406313685
 gg23 gg24:0.214514508350316
 gg23 gg25:0.214514508350316
 gg23 gg26:1.17982979592674
 gg23 gg27:1.34071567718948
 gg24 gg1:0.425769230769231
 gg24 gg2:0.1265625
 gg24 gg4:0.053628627087579
 gg24 gg5:0.589914897963369
 gg24 gg6:0.429029016700632
 gg24 gg7:0
 gg24 gg8:0.053628627087579
 gg24 gg9:0.053628627087579
 gg24 gg10:0.107257254175158
 gg24 gg11:0.160885881262737
 gg24 gg12:0.321771762525474
 gg24 gg13:0.804429406313685
 gg24 gg14:0.911686660488843
 gg24 gg15:0.691544117647059
 gg24 gg16:0.053628627087579
 gg24 gg17:0.268143135437895
 gg24 gg18:0.107257254175158
 gg24 gg19:0.589914897963369
 gg24 gg20:0.589914897963369
 gg24 gg21:0.214514508350316
 gg24 gg22:0.107257254175158
 gg24 gg23:0.107257254175158
 gg24 gg24:0.750800779226106
 gg24 gg25:0
 gg24 gg26:0.697172152138527
 gg24 gg27:0.321771762525474
 gg25 gg1:2.34173076923077
 gg25 gg2:0.354375
 gg25 gg4:0
 gg25 gg5:0.160885881262737
 gg25 gg6:0.160885881262737
 gg25 gg7:0.053628627087579
 gg25 gg8:0
 gg25 gg9:0.160885881262737
 gg25 gg10:0
 gg25 gg11:0
 gg25 gg12:0.053628627087579
 gg25 gg13:0.643543525050948
 gg25 gg14:2.25240233767832
 gg25 gg15:0.817279411764706
 gg25 gg16:0.321771762525474
 gg25 gg17:0
 gg25 gg18:0.482657643788211
 gg25 gg19:0
 gg25 gg20:0.482657643788211
 gg25 gg21:0.053628627087579
 gg25 gg22:0
 gg25 gg23:0.268143135437895
 gg25 gg24:0
 gg25 gg25:3.43223213360506
 gg25 gg26:0
 gg25 gg27:0.160885881262737
 gg26 gg1:1.27730769230769
 gg26 gg2:0.405
 gg26 gg4:0.375400389613053
 gg26 gg5:0.589914897963369
 gg26 gg6:2.84231723564169
 gg26 gg7:0.858058033401264
 gg26 gg8:0.750800779226106
 gg26 gg9:0.375400389613053
 gg26 gg10:0.160885881262737
 gg26 gg11:0.429029016700632
 gg26 gg12:1.87700194806527
 gg26 gg13:5.3628627087579
 gg26 gg14:4.6120619295318
 gg26 gg15:0.943014705882353
 gg26 gg16:3.48586076069264
 gg26 gg17:0.53628627087579
 gg26 gg18:0.375400389613053
 gg26 gg19:0.750800779226106
 gg26 gg20:3.27134625234232
 gg26 gg21:1.93063057515284
 gg26 gg22:1.2870870501019
 gg26 gg23:0.268143135437895
 gg26 gg24:0.804429406313685
 gg26 gg25:0.911686660488843
 gg26 gg26:5.41649133584548
 gg26 gg27:1.71611606680253
 gg27 gg1:7.02519230769231
 gg27 gg2:7.543125
 gg27 gg4:0.214514508350316
 gg27 gg5:0.643543525050948
 gg27 gg6:1.34071567718948
 gg27 gg7:0.375400389613053
 gg27 gg8:0.429029016700632
 gg27 gg9:0.160885881262737
 gg27 gg10:0.160885881262737
 gg27 gg11:0
 gg27 gg12:0.429029016700632
 gg27 gg13:2.35965959185348
 gg27 gg14:8.47332307983749
 gg27 gg15:8.67573529411765
 gg27 gg16:0.53628627087579
 gg27 gg17:0.268143135437895
 gg27 gg18:0.53628627087579
 gg27 gg19:1.018943914664
 gg27 gg20:0.858058033401264
 gg27 gg21:0.429029016700632
 gg27 gg22:0.214514508350316
 gg27 gg23:0.750800779226106
 gg27 gg24:0.321771762525474
 gg27 gg25:0.268143135437895
 gg27 gg26:0.268143135437895
 gg27 gg27:15.3914159741352
a matrix=mf1019 PMVMD 0 PMVMD
 gg1 gg1:7.3024
 gg1 gg2:4.66554073284477
 gg1 gg4:0.4032
 gg1 gg5:1.12
 gg1 gg6:6.5856
 gg1 gg7:1.3888
 gg1 gg8:1.792
 gg1 gg9:0.3136
 gg1 gg10:0.3584
 gg1 gg11:0.5376
 gg1 gg12:2.2848
 gg1 gg13:7.9296
 gg1 gg14:7.0784
 gg1 gg15:6.12643428444838
 gg1 gg16:1.5232
 gg1 gg17:0.6272
 gg1 gg18:1.6576
 gg1 gg19:3.6288
 gg1 gg20:2.24
 gg1 gg21:1.568
 gg1 gg22:0.448
 gg1 gg23:0.8512
 gg1 gg24:0.448
 gg1 gg25:0.9856
 gg1 gg26:1.9264
 gg1 gg27:5.3312
 gg2 gg1:4.60249288510363
 gg2 gg2:7.45518987341772
 gg2 gg4:0.236962025316456
 gg2 gg5:0.820253164556962
 gg2 gg6:4.06481012658228
 gg2 gg7:0.43746835443038
 gg2 gg8:1.69518987341772
 gg2 gg9:0.182278481012658
 gg2 gg10:0.291645569620253
 gg2 gg11:0.273417721518987
 gg2 gg12:1.73164556962025
 gg2 gg13:7.65569620253164
 gg2 gg14:5.45012658227848
 gg2 gg15:7.47001713338649
 gg2 gg16:0.692658227848101
 gg2 gg17:0.528607594936709
 gg2 gg18:0.492151898734177
 gg2 gg19:1.16658227848101
 gg2 gg20:1.5493670886076
 gg2 gg21:1.02075949367089
 gg2 gg22:0.583291139240506
 gg2 gg23:0.65620253164557
 gg2 gg24:0.546835443037975
 gg2 gg25:0.182278481012658
 gg2 gg26:1.33063291139241
 gg2 gg27:2.49721518987342
 gg4 gg1:0.896
 gg4 gg2:0.164050632911392
 gg4 gg4:0.347256941274123
 gg4 gg5:0.297648806806391
 gg4 gg6:0.347256941274123
 gg4 gg7:0.148824403403196
 gg4 gg8:0.198432537870928
 gg4 gg9:0.0496081344677319
 gg4 gg10:0.198432537870928
 gg4 gg11:0.0496081344677319
 gg4 gg12:0.396865075741855
 gg4 gg13:0.545689479145051
 gg4 gg14:0.79373015148371
 gg4 gg15:1.52131147540984
 gg4 gg16:0.496081344677319
 gg4 gg17:0
 gg4 gg18:0
 gg4 gg19:0
 gg4 gg20:0.0496081344677319
 gg4 gg21:0.0496081344677319
 gg4 gg22:0.148824403403196
 gg4 gg23:0
 gg4 gg24:0.0992162689354638
 gg4 gg25:0.0496081344677319
 gg4 gg26:0.148824403403196
 gg4 gg27:0.396865075741855
 gg5 gg1:4.3008
 gg5 gg2:2.49721518987342
 gg5 gg4:1.04177082382237
 gg5 gg5:5.01042158124092
 gg5 gg6:0.248040672338659
 gg5 gg7:0.347256941274123
 gg5 gg8:0.148824403403196
 gg5 gg9:0.0496081344677319
 gg5 gg10:0
 gg5 gg11:0.0992162689354638
 gg5 gg12:0.248040672338659
 gg5 gg13:0.595297613612783
 gg5 gg14:0.446473210209587
 gg5 gg15:1.42622950819672
 gg5 gg16:0.297648806806391
 gg5 gg17:0
 gg5 gg18:0.297648806806391
 gg5 gg19:0.148824403403196
 gg5 gg20:0.248040672338659
 gg5 gg21:0.347256941274123
 gg5 gg22:0.148824403403196
 gg5 gg23:0.0496081344677319
 gg5 gg24:0
 gg5 gg25:0.545689479145051
 gg5 gg26:0.545689479145051
 gg5 gg27:1.63706843743515
 gg6 gg1:8.512
 gg6 gg2:3.90075949367089
 gg6 gg4:0.496081344677319
 gg6 gg5:3.77021821954762
 gg6 gg6:17.8093202739157
 gg6 gg7:2.08354164764474
 gg6 gg8:9.12789674206267
 gg6 gg9:1.04177082382237
 gg6 gg10:1.19059522722557
 gg6 gg11:0.496081344677319
 gg6 gg12:4.31590769869267
 gg6 gg13:30.7570433699938
 gg6 gg14:7.88769338036937
 gg6 gg15:14.6426229508197
 gg6 gg16:2.08354164764474
 gg6 gg17:0.396865075741855
 gg6 gg18:0.595297613612783
 gg6 gg19:1.53785216849969
 gg6 gg20:0.992162689354638
 gg6 gg21:2.72844739572525
 gg6 gg22:0.545689479145051
 gg6 gg23:0.79373015148371
 gg6 gg24:0.396865075741855
 gg6 gg25:1.38902776509649
 gg6 gg26:1.98432537870928
 gg6 gg27:4.71277277443453
 gg7 gg1:1.2096
 gg7 gg2:0.492151898734177
 gg7 gg4:0.248040672338659
 gg7 gg5:0.0992162689354638
 gg7 gg6:1.63706843743515
 gg7 gg7:0.942554554886906
 gg7 gg8:0.396865075741855
 gg7 gg9:0.446473210209587
 gg7 gg10:0.198432537870928
 gg7 gg11:0
 gg7 gg12:0.942554554886906
 gg7 gg13:3.22452874040257
 gg7 gg14:2.48040672338659
 gg7 gg15:4.56393442622951
 gg7 gg16:0.148824403403196
 gg7 gg17:0.198432537870928
 gg7 gg18:0.545689479145051
 gg7 gg19:0.496081344677319
 gg7 gg20:0.79373015148371
 gg7 gg21:0.595297613612783
 gg7 gg22:0.198432537870928
 gg7 gg23:0.198432537870928
 gg7 gg24:0.148824403403196
 gg7 gg25:0.0992162689354638
 gg7 gg26:0.0992162689354638
 gg7 gg27:1.43863589956422
 gg8 gg1:1.4784
 gg8 gg2:0.966075949367089
