t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      5  24400  .3339804
      5  25120  1.543305
      5  25130  1.622429
      5  25220  1.347995
      5  25230  .2898714
      5  25280  .0998370
      5  25290  .3236219
      5  25300  .0784838
      5  25310  .3325254
      5  25320  .2557867
      5  25370  .2296217
      5  25380  .6298290
      5  25390  1.125894
      5  25660  .5881615
      5  25740  .8290384
      5  25800  .4976889
      5  25810  .7239112
      5  26310   1.18374
      5  26340  .5257725
      5  26390  .3102598
      5  26410  .2290488
      5  27140  1.773645
      5  27160  .7503524
      5  27170  .2994556
      5  27220  .2806837
      5  27230  .6564708
      5  27290  .0085919
      5  27660  4.418405
      5  28080  .9781612
      5  28090  .0826388
      5  28220  1.140959
      5  28270  1.711437
      5  28380  .4229947
      5  28390  .5058054
      5  28600  .5853914
      5  28610  .3098085
      5  28710  .0248594
      5  28720  .0678260
      5  28730  .0374899
      5  28740  .5153438
      5  28750  .3048809
      5  29040  .0127339
      5  29060  .0281862
      5  29070  .0184721
      5  29120  .1074078
      5  29280  .3299042
      5  29340  1.092096
      5  31110  .0358877
      5  31120  .2882222
      5  31130  .0542909
      5  31160  .0536553
      5  31170  .0528021
      5  31180  .0654519
      5  31190  .0723380
      5  31210  .2156610
      5  31220  .0962291
      5  31230  .0284794
      5  31240  .0607828
      5  31250  .0237995
      5  32230  .7452000
      5  32250  .6348000
      5  32600  .2673706
      5  32610  .0617091
      5  32620  .5613202
      5  33010  .3324000
      5  33160  .1806967
      5  33200  .5345033
      5  34250    1.4076
      5  41030  .5976000
      5  41040  .2576724
      5  41050  .1899891
      5  41070  .0745879
      5  41110  .0177506
      5  42010  .0384000
      5  42200  .0050173
      5  42210  .0121034
      5  42290  .1844793
      5  42440  .0216000
      5  51020  .3708950
      5  51030  .0081576
      5  51040  .0001473
      5  51490    2.0304
      5  51590   3.36015
      5  51640     1.806
      5  51710   1.84665
      5  52110  1.308262
      5  52120  .7089382
      5  52210  .3131642
      5  52250  .3238745
      5  52260  .5538757
      5  52270  1.104686
      5  53010  .1501718
      5  53020  .1443959
      5  53030  1.181862
      5  53040  .6867803
      5  53060  .1108460
      5  53100  .4931441
      5  54010  2.771495
      5  54040  3.460105
      5  54050    1.7436
      5  54080  .3489297
      5  54090  .5684541
      5  54100  .7285796
      5  54120  .5568429
      5  54150  1.439193
      5  54160    1.0296
      5  54200    5.0976
      5  54210  1.196468
      5  54240  .0527315
      5  54290  9.322801
      5  54400    3.0756
      5  61090  .0722823
      5  61130  .0467800
      5  61140  .0179277
      5  61210  .0455489
      5  61260  .2858244
      5  61270  .1574775
      5  61300  .0780824
      5  61370  .3952194
      5  61380  .2650002
      5  61390  .0952785
      5  61420  .0861438
      5  61480  .0359769
      5  61500  .0108349
      5  61530  .2268539
      5  61610  .0479692
      5  61800  .1704598
      5  61840  .6945165
      5  61870  .2162238
      5  61910  .8177845
      5  61920  .3486156
      5  62220  .3412660
      5  62290  1.057934
      5  62390  .5720578
      5  62400  .1388309
      5  62410  .4075113
      5  62630  .8187096
      5  62730  .5912904
      5  63010  .0227497
      5  63020  .1129649
      5  63030  .0964746
      5  63040  .0211247
      5  63080  .0448715
      5  63090  .0874901
      5  63100  .0512499
      5  63150    1.1532
      5  63170  .0178747
      5  63230  .1396138
      5  63250  .2569803
      5  63300  .2844684
      5  63320  .3365375
      5  63350  .1010291
      5  63360  .0341761
      5  63370  1.031599
      5  63420  .0277681
      5  63440  .0320401
      5  63470  .2416392
      5  63490  .1679203
      5  63520  .6397474
      5  63560  1.368401
      5  63570  .1245861
      5  63680  .0795364
      5  63690  .9419572
      5  63820  .5936042
      5  63830  .1020824
      5  63940  1.330283
      5  63950  .2041648
      5  64020  .5125501
      5  64030  .5125501
      5  64050  .3416998
      5  64100  .1294803
      5  64270  .0784675
      5  64280  .2345273
      5  64320  .2077241
      5  64340  .5158162
      5  64350  .1569164
      5  64360  .3953486
      5  65030  .0809873
      5  65040  1.338666
      5  65050  .3970735
      5  65060  .2435422
      5  65070  .2264384
      5  65080  .1570528
      5  65090  .4360885
      5  65150  .0090286
      5  65160  .0249370
      5  65200  .0534427
      5  65220  .1298574
      5  65230  .1765526
      5  65260  .0972514
      5  65320  .1605023
      5  65340  .5516756
      5  65360  .0504736
      5  65370  .3069680
      5  65380  .2681609
      5  65390  .2524084
      5  65430  .2568038
      5  65440  .0325383
      5  65470  .4753281
      5  65480  .5883127
      5  65490  .0644440
      5  65500  .1793058
      5  65540  .0325383
      5  65550  .0488074
      5  65640  1.346429
      5  65650  .1163709
      5  66020  .0302860
      5  66030  .0437912
      5  66040  .0992033
      5  66080  .1435196
      5  67060  .2310005
      5  67120  .2042936
      5  67130  .5899921
      5  67150  .2148853
      5  67160  .1318082
      5  67180  .0116202
      5  68110  .5388000
      5  68230  .0017956
      5  68240  .1158766
      5  68250  .0295560
      5  68310  .0488066
      5  68320  .0125406
      5  68330  .0143321
      5  68340  .1632000
      5  68380  .1560874
      5  68390  .0692814
      5  68400  .0161236
      5  68520  .8700000
      5  68570    4.4928
      5  68720     4.656
      5  68730    1.4376
      5  68750    1.5888
      5  68760    1.8672
      5  68800    1.9836
      5  68840     2.202
      5  71070  .0336000
      5  71120  .1272000
      5  72030  .0096281
      5  72050  .0455719
      5  72060  .1044000
      5  81010  .3086379
      5  81020  .2039675
      5  81040  .3694024
      5  81050  .1847544
      5  81080  .3112781
