_mos:,md5,md6,md7,md8,md9,md10,md11,md21,md22,md23
_names:,cnsman,fire,tcuws,rtail,busoth,acfdnf,hledpa,p5-12,p13-17,Psfte
ZONE,Contruction/Mfg - 2011 Base Emp,FIRE - 2011 Base Emp,TCU/Wholesale - 2011 Base Emp,Retail - 2011 Base Emp,Business/OtherServices - 2011 Base Emp,AccomFood/InfoCult - 2011 Base Emp,Health/Educat/PubAdmin - 2011 Base Emp,POP5-12,POP13-17,PostSec 2011 FT Enrl
6920,121,173,93,190,158,338,533,512,411,0
6930,66,0,158,8,47,79,196,460,355,0
6940,61,16,36,81,385,101,182,309,205,0
6950,0,0,0,109,76,195,72,256,188,0
7000,473,58,410,24,191,76,226,584,426,0
7010,93,24,54,146,421,214,378,967,693,28
7020,311,27,54,68,67,60,140,444,298,0
7030,123,516,31,914,637,529,941,954,633,0
7040,56,19,68,4,40,117,361,686,578,0
7050,55,464,40,579,375,350,330,852,473,0
7060,77,307,88,614,382,435,458,725,593,9
7070,52,0,0,6,37,6,428,337,349,0
7080,0,16,0,4,23,84,230,171,178,0
7100,413,64,1221,17,130,27,0,35,24,0
7110,722,60,553,187,1412,70,49,66,55,445
7120,765,68,850,153,314,107,69,334,247,0
7130,139,37,32,19,51,24,168,706,485,0
7140,24,19,42,29,50,60,188,616,416,0
7150,65,14,12,19,13,24,303,393,308,0
7160,28,82,1156,31,96,47,331,127,76,0
7170,64,0,0,3,78,13,124,45,41,0
7180,105,108,151,190,211,213,139,255,167,0
7190,14,96,31,76,67,209,192,588,364,92
7200,174,1264,40,699,532,298,1156,127,103,2736
7210,29,27,0,33,102,93,2750,273,191,164
7220,45,14,0,33,120,8,184,430,326,0
7230,0,31,0,31,203,46,195,505,331,0
7240,42,39,28,97,63,89,177,502,306,0
7250,50,90,202,275,371,378,398,195,90,233
7260,0,26,16,511,270,121,387,397,286,0
7270,101,250,30,648,386,411,497,464,289,103
7280,56,12,0,32,105,80,2946,102,58,0
