VARIABLE,GROUP,Contruction/Mfg,FIRE,TCU/Wholesale,Retail,AccomFood/InfoCult,Health/Educat/PubAdmin,POP 5 to 17,Total_Population,Households_Low,Household_Medium,Households_high,PS2011,Business/OtherServices
HBSOC,1,0,0,0,2.030637977,1.520681535,0.382022694,0,0.219331008,0,0,0,0,0
HBSOC,2,0,0,0,0,2.344771766,0.254282425,0,0.176597199,0,0,0,0,0.416709923
HBSOC,3,0,0,0,1.646600723,1.233087997,0.309773998,0,0.177850804,0,0,0,0,0
HBSOC,4,0,0,0,1.560220017,1.168400177,0.293523248,0,0.168520747,0,0,0,0,0
HBSOC,5,0,0,0,1.258355138,0.942342971,0.236733591,0,0.135916054,0,0,0,0,0
HBSOC,6,0,0,0,1.458855097,1.092491145,0.274453527,0,0.157572232,0,0,0,0,0
HBSOC,7,0,0,0,1.450457517,1.086202459,0.272873695,0,0.156665202,0,0,0,0,0
HBSOC,8,0,0,0,0,2.797624713,0.303392768,0,0.210703956,0,0,0,0,0.497190386
HBSOC,9,0,0,0,1.342343289,1.005239081,0.252534231,0,0.144987688,0,0,0,0,0
HBSOC,10,0,0,0,0,2.667837527,0.289317794,0,0.200928995,0,0,0,0,0.474124768
HBSOC,11,0,0,0,1.608409432,1.204487728,0.302589093,0,0.173725728,0,0,0,0,0
HBSOC,12,0,0,0,0,2.920063881,0.316670874,0,0.2199255,0,0,0,0,0.518950123
HBSOC,13,0,0,0,1.434800383,1.074477319,0.269928128,0,0.154974061,0,0,0,0,0
HBSOC,14,0,0,0,0,2.685487741,0.291231899,0,0.202258326,0,0,0,0,0.477261543
HBESC,1,0,0,0,0.41297093,0.41297093,0.363503045,1.251860315,0,0,0,0,0,0
HBESC,2,0,0,0,0.43762606,0.43762606,0.385204851,1.326598696,0,0,0,0,0,0
HBESC,3,0,0,0,0.092741806,0.092741806,0.269035296,1.405175303,0,0,0,0,0,0
HBESC,4,0,0,0,0.414014772,0.414014772,0.36442185,1.255024569,0,0,0,0,0,0
HBESC,5,0,0,0,0.41633967,0.41633967,0.366468259,1.262072151,0,0,0,0,0,0
HBESC,6,0,0,0,0.431329352,0.431329352,0.379662396,1.307511157,0,0,0,0,0,0
HBESC,7,0,0,0,0.484232252,0.484232252,0.82936313,1.221107254,0,0,0,0,0,0
HBESC,8,0,0,0,0.409047763,0.409047763,0.360049816,1.239967815,0,0,0,0,0,0
HBESC,9,0,0,0,0.372830487,0.372830487,0.328170841,1.130180496,0,0,0,0,0,0
HBESC,10,0,0,0,0.519454931,0.519454931,0.889690362,1.309929651,0,0,0,0,0,0
HBESC,11,0,0,0,0.44995881,0.44995881,0.770661692,1.134678585,0,0,0,0,0,0
HBESC,12,0,0,0,0.437272362,0.437272362,0.748933126,1.102686677,0,0,0,0,0,0
HBESC,13,0,0,0,0.367526545,0.367526545,0.323502234,1.114102381,0,0,0,0,0,0
HBESC,14,0,0,0,0.42309406,0.42309406,0.372413572,1.282547086,0,0,0,0,0,0
NHBO,1,0,0,0,2.151059531,0.546224354,0.264121294,0,0.134589731,0,0,0,0,0
NHBO,2,0,0,0,2.509539416,0,0.97263414,0,0.105533118,0,0,0,0,0
NHBO,3,0,0,0,1.686249493,0.428193886,0.207048848,0,0.105507013,0,0,0,0,0
NHBO,4,0,0,0,2.059825641,0.523057086,0.252918995,0,0.128881314,0,0,0,0,0
NHBO,5,0,0,0,1.873182732,0.475662348,0.230001746,0,0.117203246,0,0,0,0,0
NHBO,6,0,0,0,2.103893312,0.534247309,0.258329914,0,0.131638586,0,0,0,0,0
NHBO,7,0,0,0,1.936503164,0.491741477,0.237776646,0,0.121165145,0,0,0,0,0
NHBO,8,0,0,0,2.635135545,0,1.02131203,0,0.110814785,0,0,0,0,0
NHBO,9,0,0,0,1.937782306,0.492066293,0.237933708,0,0.12124518,0,0,0,0,0
NHBO,10,0,0,0,3.037882456,0,1.177406567,0,0.127751413,0,0,0,0,0
NHBO,11,0,0,0,2.556350056,0.649140871,0.313885541,0,0.15994837,0,0,0,0,0
NHBO,12,0,0,0,2.856652629,0,1.10716646,0,0.120130195,0,0,0,0,0
NHBO,13,0,0,0,1.826590356,0.46383102,0.224280826,0,0.114288006,0,0,0,0,0
NHBO,14,0,0,0,2.785615444,0,1.079634241,0,0.117142883,0,0,0,0,0
