t groups
a     gn: 'PNR lots' /2016-05-20 15:04:17
a   gn00:  35020
a   gn00:  35030
a   gn00:  35040
a   gn00:  35050
a   gn00:  41010
a   gn00:  41020
a   gn00:  41030
a   gn00:  41040
a   gn00:  41050
a   gn00:  41060
a   gn00:  41070
a   gn00:  41080
a   gn00:  41090
a   gn00:  41100
a   gn00:  41110
a   gn00:  41120
a   gn00:  41130
a   gn00:  42010
a   gn00:  42020
a   gn00:  42030
a   gn00:  42040
a   gn00:  42050
a   gn00:  42060
a   gn00:  42070
a   gn00:  42080
a   gn00:  42090
a   gn00:  42100
a   gn00:  42110
a   gn00:  42120
a   gn00:  42130
a   gn00:  42140
a   gn00:  42150
a   gn00:  42160
a   gn00:  42170
a   gn00:  42180
a   gn00:  42190
a   gn00:  42200
a   gn00:  42210
a   gn00:  42220
a   gn00:  42230
a   gn00:  42240
a   gn00:  42250
a   gn00:  42260
a   gn00:  42270
a   gn00:  42280
a   gn00:  42290
a   gn00:  42300
a   gn00:  42310
a   gn00:  42320
a   gn00:  42330
a   gn00:  42340
a   gn00:  42350
a   gn00:  42360
a   gn00:  42370
a   gn00:  42380
a   gn00:  42390
a   gn00:  42400
a   gn00:  42410
a   gn00:  42420
a   gn00:  42430
a   gn00:  42440
a   gn00:  43010
a   gn00:  51010
a   gn00:  51020
a   gn00:  51030
a   gn00:  51040
a   gn00:  51050
a   gn00:  51060
a   gn00:  51070
a   gn00:  51080
a   gn00:  51090
a   gn00:  51100
a   gn00:  51110
a   gn00:  51120
a   gn00:  51130
a   gn00:  51140
a   gn00:  51150
a   gn00:  51160
a   gn00:  51170
a   gn00:  51180
a   gn00:  51190
a   gn00:  51200
a   gn00:  51210
a   gn00:  51220
a   gn00:  51230
a   gn00:  51240
a   gn00:  51250
a   gn00:  51260
a   gn00:  51270
a   gn00:  51280
a   gn00:  51290
a   gn00:  51300
a   gn00:  51310
a   gn00:  51320
a   gn00:  51330
a   gn00:  51340
a   gn00:  51350
a   gn00:  51360
a   gn00:  51370
a   gn00:  51380
a   gn00:  51390
a   gn00:  51400
a   gn00:  51410
a   gn00:  51420
a   gn00:  51430
a   gn00:  51440
a   gn00:  51450
a   gn00:  51460
a   gn00:  51470
a   gn00:  51480
a   gn00:  51490
a   gn00:  51500
a   gn00:  51510
a   gn00:  51520
a   gn00:  51530
a   gn00:  51540
a   gn00:  51550
a   gn00:  51560
a   gn00:  51570
a   gn00:  51580
a   gn00:  51590
a   gn00:  51600
a   gn00:  51610
a   gn00:  51620
a   gn00:  51630
