t matrices
d mo47
a matrix=mo47 AuAc 0 Auto Accessibility
9170 all:1.21095
9180 all:1.21282
9190 all:1.44524
9200 all:1.12120
9300 all:3.16050
9310 all:3.72771
9320 all:4.43392
9330 all:3.75654
9340 all:5.25743
9350 all:9.03967
9360 all:4.88999
9370 all:11.24555
9380 all:13.17022
9390 all:15.50981
9400 all:15.54572
9410 all:7.26187
9420 all:10.18928
9430 all:4.58689
9440 all:3.77454
9450 all:14.48667
9460 all:7.89983
9470 all:5.20755
9500 all:12.85145
9510 all:8.45386
9520 all:6.36256
9530 all:8.40605
9540 all:4.86023
9550 all:4.62817
9560 all:2.86555
9570 all:2.26464
9600 all:2.15740
9610 all:3.32775
9620 all:2.70411
9630 all:5.07068
9640 all:3.52414
9650 all:2.21845
9660 all:4.13759
9670 all:4.23559
9680 all:2.84248
9690 all:2.36428
9700 all:3.07545
9710 all:2.29100
9720 all:1.47317
9730 all:2.51382
9740 all:1.07496
9800 all:2.75437
9810 all:.73682
d mo954
a matrix=mo954 ReAuAc 0 Retail Auto Accessibility
1000 all:3.80135
1010 all:2.38009
1020 all:3.61367
1030 all:3.27805
1040 all:4.16400
1050 all:7.03253
1060 all:2.82676
1070 all:7.89139
1080 all:6.73320
1090 all:8.77975
1100 all:10.00370
1110 all:9.98779
1150 all:1.51756
1200 all:17.25609
1210 all:19.69050
1220 all:14.96006
1230 all:15.74797
1240 all:20.12303
1250 all:21.92688
1260 all:12.99859
1270 all:12.76160
1280 all:12.90543
1290 all:11.94278
1500 all:8.39093
1510 all:8.19973
1520 all:14.20647
1530 all:4.96376
1540 all:3.30643
1550 all:5.38958
1560 all:6.80427
1570 all:7.72142
1580 all:5.79876
1590 all:8.23464
1600 all:5.09398
1610 all:7.92786
1620 all:9.72805
1630 all:2.65219
1640 all:7.01765
1650 all:10.96974
1660 all:3.27716
1670 all:6.65397
1680 all:2.79738
1690 all:6.35511
1700 all:6.17944
1710 all:3.94221
1900 all:.26407
1910 all:1.60092
1920 all:2.15644
1930 all:4.08410
2000 all:7.16605
2010 all:28.17551
2020 all:39.04310
2030 all:35.16173
2040 all:46.66832
2050 all:99.54534
2060 all:88.37226
2070 all:80.95958
2080 all:136.64732
2090 all:98.65505
2100 all:104.78313
2110 all:158.38851
2120 all:140.03289
2130 all:119.41147
2140 all:169.86614
2150 all:210.77761
2160 all:117.85134
2170 all:163.06535
2180 all:148.23159
2190 all:127.67399
2200 all:105.61338
2210 all:91.37931
2220 all:137.72909
2230 all:110.00030
2240 all:76.65151
2250 all:50.63264
2260 all:71.26810
2270 all:91.74572
2280 all:67.77311
2290 all:112.01556
2300 all:54.17171
2310 all:158.90165
2320 all:160.03767
2330 all:54.20495
2900 all:6.58651
2910 all:7.74815
2920 all:7.58143
3000 all:9.21399
3010 all:12.85454
3020 all:17.30058
3030 all:20.46618
3040 all:18.79391
3050 all:47.08887
3060 all:55.89444
3070 all:47.79954
3080 all:43.44451
3090 all:39.77722
3100 all:44.23182
3110 all:27.33954
3120 all:74.27005
3130 all:121.78637
3140 all:90.08193
3150 all:28.13947
3160 all:54.39320
3170 all:106.01616
3180 all:66.73621
3190 all:29.60315
3200 all:58.57621
3210 all:16.12524
3220 all:14.93522
3230 all:18.04956
3240 all:14.52912
3250 all:18.73962
3260 all:21.62863
3270 all:18.30242
3280 all:19.47794
3290 all:16.87495
3300 all:16.84780
3310 all:19.98795
3320 all:16.93004
3330 all:12.54196
3340 all:14.34648
3350 all:14.10103
3360 all:12.20766
3370 all:19.51176
3380 all:14.11362
3390 all:14.81710
3400 all:10.59952
3410 all:15.19500
3420 all:41.13890
3430 all:86.12133
3440 all:37.89870
3450 all:20.84720
3460 all:26.33214
3470 all:28.05823
3480 all:30.22084
3490 all:31.58048
3500 all:13.30440
3510 all:16.84921
3520 all:18.63365
3530 all:21.74762
3540 all:21.32315
3550 all:17.35386
3560 all:12.80410
3570 all:20.28884
3580 all:20.88376
3590 all:33.56727
3600 all:23.30013
3610 all:20.69507
3620 all:20.90656
3630 all:20.55479
3640 all:24.90269
3650 all:20.30442
3660 all:16.66671
3670 all:16.81090
3680 all:21.58056
3690 all:17.25846
3700 all:24.04500
3710 all:22.84150
3720 all:16.52389
3730 all:15.45744
3740 all:18.91782
3750 all:16.62843
3760 all:24.90003
3770 all:15.34898
3780 all:25.65592
3790 all:12.32775
3800 all:12.16987
3810 all:15.67903
3820 all:25.31623
3830 all:15.92293
3840 all:17.40411
3850 all:16.57280
3860 all:16.73734
3870 all:16.81047
3880 all:15.99751
3890 all:11.37446
3900 all:17.88616
3910 all:12.95343
3920 all:12.00211
3930 all:17.36795
3940 all:11.62471
3950 all:11.00351
3960 all:19.26278
3970 all:14.12338
3980 all:13.74309
3990 all:11.50031
4000 all:11.31542
4010 all:14.59550
4020 all:24.03678
4030 all:25.64751
4040 all:9.33943
4050 all:9.21028
4060 all:14.64399
4070 all:15.44533
4080 all:18.34443
4090 all:13.55165
4100 all:14.22096
4110 all:11.26931
4120 all:10.87673
4130 all:13.63931
4140 all:5.35573
4150 all:6.59584
4160 all:13.06572
4170 all:16.69974
4180 all:14.98355
4190 all:27.56871
4200 all:18.54138
4210 all:15.52854
4220 all:20.29756
4230 all:24.74482
4240 all:38.76150
4250 all:11.68756
4260 all:15.38626
4270 all:13.91006
4280 all:15.40680
4290 all:12.86642
4300 all:15.44815
4310 all:10.79578
4320 all:16.14074
4330 all:58.85034
4340 all:84.84789
4350 all:77.67911
4360 all:17.00137
4370 all:15.39472
4380 all:19.06015
4390 all:13.83071
4400 all:15.09806
4410 all:13.57024
4420 all:10.41533
4430 all:11.48417
4440 all:10.88563
4450 all:13.14536
4460 all:11.98044
4470 all:17.56389
4480 all:12.82833
4490 all:12.76070
4500 all:13.99290
4510 all:8.23972
4520 all:10.34106
4530 all:12.70578
4540 all:9.13737
4550 all:14.18585
4560 all:18.72787
4700 all:10.36202
4710 all:4.14484
4720 all:14.42207
4730 all:16.94833
4740 all:22.15347
4750 all:17.39326
4760 all:20.03093
4770 all:29.83736
4780 all:13.72604
4790 all:12.21838
4800 all:16.98331
4810 all:13.21850
4820 all:10.99833
4830 all:12.62912
4840 all:9.59884
5000 all:1.59057
5010 all:2.39585
5020 all:2.05074
5030 all:2.73436
5040 all:4.11614
5050 all:5.79131
5060 all:6.17011
5070 all:4.86093
5080 all:7.29547
5100 all:9.97697
5110 all:13.62529
