matrices:,md5,md6,md7,md8,md9,md10,md11,md20,md21,md22,md23,md24,md25,md26,md31,md32,md33,md34,md35,md36,md37,md38,md39,md40,md41
name:,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,PpTt11,Pp2_11,Pp3_11,PSEn11,HhLwIn,HhMdIn,HhHiIn,aWkL,aWkM,aWkH,aNw,aUv,aSc,aSh,aPB,aSo,aEc,aNo
description,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_population,2011_Pop 5to12,2011_Pop_13to17,PostSec 2011 FT Enrl,Household Low Income,Household Medium Income,Household High Income,AttracWkL,AttracWkM,AttracWkH,AttracNw,AttracUv,AttracSc,AttracSh,AttracPB,AttracSo,AttracEc,AttracNo
1560,73.0,43.0,0.0,31.0,196.0,7.0,191.0,5486.0,624.0,415.0,0.0,413.1073303222656,520.6357421875,941.2373046875,78.67460632324219,360.03472900390625,226.82862854003906,466.4235534667969,20.318540573120117,1466.269287109375,448.05047607421875,386.77862548828125,1115.46875,1468.5401611328125,842.5234375
1570,0.0,182.0,0.0,138.0,286.0,187.0,744.0,6210.0,577.0,414.0,3.0,512.1083374023438,635.5457763671875,1106.323974609375,212.58682250976562,890.7069702148438,795.4583740234375,942.5830078125,83.09893035888672,1462.3841552734375,888.0923461914062,1110.91748046875,1843.5062255859375,1743.48046875,1725.3167724609375
1580,103.0,0.0,0.0,21.0,259.0,47.0,89.0,4712.0,427.0,312.0,0.0,373.97869873046875,467.4979553222656,828.5065307617188,86.76693725585938,342.3012390136719,212.35580444335938,436.44219970703125,9.467801094055176,1037.5750732421875,364.0111389160156,285.6066589355469,1072.8892822265625,1044.3984375,636.5367431640625
1590,0.0,214.0,38.0,198.0,232.0,127.0,693.0,6839.0,610.0,456.0,0.0,615.5359497070312,744.5308837890625,1210.911865234375,190.79881286621094,855.630126953125,720.9873657226562,947.95458984375,73.72119903564453,1560.863037109375,1148.3944091796875,1076.1834716796875,1778.4287109375,1823.329833984375,1892.6650390625
1600,145.0,87.0,31.0,62.0,156.0,53.0,458.0,8365.0,897.0,683.0,0.0,620.1964721679688,777.5772705078125,1388.19775390625,135.14117431640625,623.7286987304688,409.5395202636719,719.9338989257812,48.72194290161133,2248.787841796875,737.7109375,783.388916015625,1782.9765625,2322.77685546875,1483.84228515625
1610,67.0,164.0,26.0,488.0,134.0,286.0,450.0,7541.0,741.0,566.0,0.0,694.7459106445312,834.1907958984375,1329.04052734375,189.11085510253906,771.9718017578125,466.7527160644531,1059.6837158203125,47.870906829833984,1868.31640625,2264.46435546875,1131.906005859375,2172.590576171875,2245.9296875,2458.16552734375
1620,252.0,36.0,34.0,13.0,21.0,163.0,348.0,2813.0,211.0,157.0,0.0,272.52606201171875,334.2220458984375,564.2412719726562,136.787353515625,529.5499267578125,389.61981201171875,399.2254943847656,37.02016830444336,551.1962280273438,219.0245361328125,539.1934814453125,976.2069702148438,699.2619018554688,667.9652709960938
1630,18.0,0.0,0.0,2.0,43.0,55.0,8.0,786.0,58.0,49.0,0.0,93.07234954833984,117.23570251464844,211.68753051757812,25.814512252807617,65.81873321533203,28.882164001464844,88.63229370117188,0.8510383367538452,149.6754150390625,55.1568603515625,71.79142761230469,287.72064208984375,169.97239685058594,95.7491683959961
1640,0.0,0.0,0.0,16.0,115.0,165.0,788.0,2604.0,291.0,174.0,6265.0,269.4510498046875,320.947509765625,499.59332275390625,147.85726928710938,631.3385009765625,625.38818359375,503.79473876953125,8337.67578125,736.0670166015625,217.43093872070312,950.7044067382812,1095.042724609375,999.6202392578125,1081.396484375
1650,873.0,105.0,1018.0,421.0,461.0,213.0,160.0,1064.0,98.0,47.0,0.0,93.26568603515625,113.99232482910156,190.7384490966797,407.89666748046875,1738.1400146484375,1376.204833984375,1062.49169921875,17.020767211914062,219.78375244140625,1622.952880859375,554.8870239257812,920.124267578125,531.444580078125,1324.4246826171875
