   inode    jnode  @lanesam  @lanesmd  @lanespm    @vdfam    @vdfmd    @vdfpm   @tollam   @tollmd   @tollpm
   25020   250201         1         1         1         1         1         1         0         0         0
   25030   250301         1         1         1         1         1         1         0         0         0
   25040   250401         1         1         1         1         1         1         0         0         0
   25050   250501         1         1         1         1         1         1         0         0         0
   25060   250601         1         1         1         1         1         1         0         0         0
   25070   250712         1         1         1         1         1         1         0         0         0
   25080   250803         1         1         1         1         1         1         0         0         0
   25090   250905         1         1         1         1         1         1         0         0         0
   25100   251004         1         1         1         1         1         1         0         0         0
   25110   251102         1         1         1         1         1         1         0         0         0
   25120   251202         1         1         1         1         1         1         0         0         0
   25130   251401         1         1         1         1         1         1         0         0         0
   25140   250402         1         1         1         1         1         1         0         0         0
   25150   251504         1         1         1         1         1         1         0         0         0
   25160   251703         1         1         1         1         1         1         0         0         0
   25170   250911         1         1         1         1         1         1         0         0         0
   25180   251803         1         1         1         1         1         1         0         0         0
   25190   251106         1         1         1         1         1         1         0         0         0
   25200   253201         1         1         1         1         1         1         0         0         0
   25210   252202         1         1         1         1         1         1         0         0         0
   25220   252203         1         1         1         1         1         1         0         0         0
   25230   252203         1         1         1         1         1         1         0         0         0
   25240   252503         1         1         1         1         1         1         0         0         0
   25250   251504         1         1         1         1         1         1         0         0         0
   25260   250720         1         1         1         1         1         1         0         0         0
   25270   252706         1         1         1         1         1         1         0         0         0
   25280   252801         1         1         1         1         1         1         0         0         0
   25290   251803         1         1         1         1         1         1         0         0         0
   25300   253004         1         1         1         1         1         1         0         0         0
   25310   253101         1         1         1         1         1         1         0         0         0
   25320   253202         1         1         1         1         1         1         0         0         0
