t matrices
a matrix=mf1001  24CBLg   0.0 Cross Border Light Trucks 24 Hrs
      5  63230  .4391621
      5  63250  .7003803
      5  63300  .6744072
      5  63320  .7641706
      5  63350  .1945115
      5  63360  .0998043
      5  63370  1.759915
      5  63420  .2023441
      5  63440  .0693320
      5  63470  .8786330
      5  63490  .5448743
      5  63520  1.291636
      5  63560  4.345167
      5  63570  .3255221
      5  63680  1.028737
      5  63690  1.443573
      5  63820  1.559349
      5  63830  .1898063
      5  63940  4.106862
      5  63950  .3700038
      5  64020  1.231209
      5  64030  1.231209
      5  64050  1.007961
      5  64100  .2396474
      5  64270  .2198878
      5  64280  .6060802
      5  64320  .4128403
      5  64340  1.407523
      5  64350  .5958465
      5  64360  .7940240
      5  65030  .2980612
      5  65040  2.847453
      5  65050  .5887228
      5  65060  .3666058
      5  65070  .2745581
      5  65080  .3749420
      5  65090  .6431963
      5  65100  1.491354
      5  65140  .5014189
      5  65150  .6578228
      5  65160  .0289684
      5  65200  .4465385
      5  65220  .2629131
      5  65230  .1357515
      5  65260  .5640412
      5  65320  .4309896
      5  65340  .4380703
      5  65360  .0188452
      5  65370  .6854023
      5  65380  .6199558
      5  65390  .5715953
      5  65430  .5467016
      5  65440  .2529744
      5  65470  .5157551
      5  65480  1.573331
      5  65490  .2955310
      5  65500  .4731914
      5  65540  .3655293
      5  65550  .1306029
      5  65640  3.369797
      5  65650  .3530261
      5  66020  .0717675
      5  66030  .1214188
      5  66040  .3655150
      5  66080  .4604647
      5  67060  9.089088
      5  67120   4.76928
      5  67130  14.42585
      5  67150   5.80463
      5  67160  3.176192
      5  67180  .4441081
      5  68110  .0270717
      5  68230  .0024126
      5  68240  .0049290
      5  68250  .0052755
      5  68310  .0020840
      5  68320  .0025607
      5  68330  .0016940
      5  68340  .0080670
      5  68380  .0022645
      5  68390  .0015823
      5  68400  .0005659
      5  68520  .0436937
      5  68570  .2260476
      5  68720  .2342293
      5  68730  .0724305
      5  68750  .0798659
      5  68760  .0939329
      5  68800  .0997606
      5  68840  .1106984
      5  71070  .3506027
      5  71120  1.348007
      5  81010  .2618832
      5  81020  .0774076
      5  81040  .1391030
      5  81050  .1501509
      5  81080  .2639977
      5  81090  .3108529
      5  81100  .2872573
      5  81120  .2685119
      5  81150  .5969508
      5  81190  .3859615
      5  81200  .2472452
      5  81270  .1572451
      5  81310  .2841409
      5  81320  .7042484
      5  81380  .8036084
      5  81490  .6724491
      5  81500  .6938458
      5  81590  .6309788
      5  81600  .1553622
      5  81610  .4353054
      5  81640  .0785403
      5  81650  .2085608
      5  82190  .2071253
      5  82250  .8120407
      5  83010  .3261186
      5  83020  .0136035
      8      3  .7298630
      8      4  .1283951
      8      5  2.673669
     10      4  .0641975
     10      5  2.138935
     11      3  4.926575
     11      4  .3851852
     11      5  1.425956
  11180      3  .0809709
  11180      4  .0204881
  11180      5  .0586011
  11200      3  .0986819
  11200      4  .0249696
  11200      5  .0714192
  11210      3  .0436016
  11210      4  .0110325
  11210      5  .0315558
  11220      3  .0304599
  11220      4  .0077073
  11220      5  .0220448
  12010      3  .0590842
  12010      4  .0320988
  12010      5  .0893291
  12020      3  .0417065
  12020      4  .0213992
  12020      5  .0595527
  12080      3  .0033781
  12080      4  .0034665
  12080      5  .0337652
  12090      5  .0980138
  12120      3  .0070485
  12120      4  .0072330
  12120      5  .0704520
  21010      3  .0070263
  21010      4  .0009116
  21010      5  .0635014
  21030      3  .0523586
  21030      4  .0067930
  21030      5  .4732026
  21050      3  .0151721
  21050      4  .0019684
  21050      5  .1371216
  21080      3  .0458067
  21080      4  .0059429
  21080      5  .4139883
  21100      3  .0400059
  21100      4  .0051903
  21100      5  .3615628
  21150      3  .0268901
  21150      4  .0034887
  21150      5  .2430260
  21160      3  .0477052
  21160      4  .0117284
  21160      5  .6220496
  22010      3  .2999469
  22010      4  .0463812
  22010      5  1.890588
  22390      3  .3838145
  22390      4  .0808945
  22390      5  2.883133
  22400      3  .3565171
  22400      4  .0751412
  22400      5   2.67808
  22530      3  .3285399
  22530      4  .0692446
  22530      5  2.467921
  23370      3  .1013352
  23370      4  .0266974
  23370      5  1.551961
  23440      3  .0639567
  23440      4  .0107445
  23440      5  .6211892
  23450      3  .0437510
  23450      4  .0073500
  23450      5  .4249383
  23460      3  .0894950
  23460      4  .0150349
  23460      5  .8692342
  23500      3  .0411810
  23500      4  .0108494
  23500      5  .6306911
  24140      3  .0115107
  24140      4  .0028299
  24140      5  .1500933
  24150      3  .0323453
  24150      4  .0079522
  24150      5  .4217650
  24160      3  .0430698
  24160      4  .0105888
  24160      5  .5616066
  24260      3  .0677326
  24260      4  .0106651
  24260      5  .2565653
  24270      3  .0279494
  24270      4  .0044009
  24270      5  .1058699
  24280      3  .0564717
  24280      4  .0088920
  24280      5  .2139100
  24300      3  .0360571
  24300      4  .0088647
  24300      5  .4701649
  24320      3  .2764688
  24320      4  .0442165
  24320      5  1.478204
  24340      3  .0455308
  24340      4  .0071692
  24340      5  .1724669
  24350      3  .0925201
  24350      4  .0145681
  24350      5  .3504583
  24400      3  .1025437
  24400      4  .0161464
  24400      5  .3884272
  25120      3  .0839457
  25120      4  .0204059
  25120      5  1.113683
  25130      3  .1019518
  25130      4  .0247830
  25130      5  1.352564
  25220      3  .0633917
  25220      4  .0154096
  25220      5  .8409986
  25230      3  .0142001
  25230      4  .0034518
  25230      5  .1883879
  25280      3  .2016905
  25280      4  .0360126
  25280      5  .8109115
  25290      3  .0200804
  25290      4  .0035854
  25290      5  .0807348
  25300      3  .0173467
  25300      4  .0034251
  25300      5  .1033738
  25310      3  .0214250
  25310      4  .0038255
  25310      5  .0861408
  25320      3  .0425470
  25320      4  .0075969
  25320      5  .1710635
  25370      3  .0783249
  25370      4  .0154651
  25370      5  .4667591
  25380      3  .0606046
  25380      4  .0108212
  25380      5  .2436655
  25390      3  .3517630
  25390      4  .0694550
  25390      5  2.096249
  25660      3  .1387605
  25660      4  .0318263
  25660      5  1.199925
  25740      3  .2175301
  25740      4  .0498930
  25740      5  1.881082
  25800      3  .1641451
  25800      4  .0272245
  25800      5  .7697282
  25810      3  .2087171
  25810      4  .0346171
  25810      5  .9787402
  26310      3  .3725315
  26310      4  .0570306
  26310      5  1.944805
  26340      3  .0664469
  26340      4  .0106271
  26340      5  .3552734
  26390      3  .1179894
  26390      4  .0180629
  26390      5  .6159649
  26410      3  .0299466
  26410      4  .0047894
  26410      5  .1601162
  27140      3  .3719523
  27140      4  .0413091
  27140      5  1.633798
  27160      3  .1052533
  27160      4  .0284015
  27160      5  1.264776
  27170      3  .0447776
  27170      4  .0120828
  27170      5  .5380693
  27220      3  .0684974
  27220      4  .0076073
  27220      5  .3008744
  27230      3  .1538001
  27230      4  .0170811
  27230      5  .6755661
  27290      3  .0011643
  27290      4  .0003142
  27290      5  .0139905
  27660      3  .0821260
  27660      4  .0222589
  27660      5   1.27803
  28080      3  .1216312
  28080      4  .0338423
  28080      5  1.766653
  28090      3  .0077498
  28090      4  .0021563
  28090      5  .1125633
  28220      3  .0222843
  28220      4  .0060398
  28220      5  .3467835
  28270      3  .0505459
  28270      4  .0136997
  28270      5  .7865868
  28380      3  .0351670
  28380      4  .0107588
  28380      5  1.149819
  28390      3  .0197447
  28390      4  .0060406
  28390      5  .6455733
  28600      3  .0663007
  28600      4  .0189834
  28600      5  .9461164
  28610      3  .0510448
  28610      4  .0146153
  28610      5  .7284132
  28710      3  .0044042
  28710      4  .0012646
  28710      5  .1004400
  28720      3  .0095982
  28720      4  .0027560
  28720      5  .2188929
  28730      3  .0018900
  28730      4  .0005427
  28730      5  .0431029
  28740      3  .0326072
  28740      4  .0093629
  28740      5  .7436253
  28750      3  .0267218
  28750      4  .0076729
  28750      5  .6094059
  29040      3  .0071489
  29040      4  .0017042
  29040      5  .0211501
  29060      3  .0175614
  29060      4  .0041864
  29060      5  .0519557
  29070      3  .0137177
  29070      4  .0032701
  29070      5  .0405841
  29120      3  .0714912
  29120      4  .0170424
  29120      5  .2115086
  29280      3  .2147708
  29280      4  .0273524
  29280      5  .7717104
  29340      3  .5876389
  29340      4  .0748396
  29340      5  2.111493
  31110      3  .0601614
  31110      4  .0261406
  31110      5  .0162124
  31120      3  .2091605
  31120      4  .0908818
  31120      5  .0563650
  31130      3  .1702672
  31130      4  .0633188
  31130      5  .0330626
  31160      3  .2080166
  31160      4  .0773571
  31160      5  .0403927
  31170      3  .1907592
  31170      4  .0709394
  31170      5  .0370417
  31180      3  .1431675
  31180      4  .0532410
  31180      5  .0278003
  31190      3  .1875781
  31190      4  .0697564
  31190      5  .0364240
  31210      3  .1359082
  31210      4  .0590531
  31210      5  .0366248
  31220      3  .0941993
  31220      4  .0409303
  31220      5  .0253850
  31230      3  .0692753
  31230      4  .0257620
  31230      5  .0134519
  31240      3  .1102487
  31240      4  .0409992
  31240      5  .0214081
  31250      3  .0634496
  31250      4  .0235956
  31250      5  .0123207
  32230      3  .2201582
  32230      4  .1190179
  32230      5  .9915447
  32250      3  .1567664
  32250      4  .1226245
  32250      5  .8987485
  32600      3  .0613342
  32600      4  .0469501
  32600      5  .3434521
  32610      3  .0612038
  32610      4  .0468503
  32610      5  .3427221
  32620      3  .0376549
  32620      4  .0288241
  32620      5  .2108558
  33010      3  .0578490
  33010      4  .0473574
  33010      5  .1579516
  33020      3  .0346689
  33020      4  .0283813
  33020      5  .0946603
  33160      3  .0587073
  33160      4  .0419433
  33160      5  .4421649
  33200      3  .2239861
  33200      4  .1600264
  33200      5  1.686993
  34250      3  .1824658
  34250      4  .0641975
  34250      5  .8912228
  41030      3  .9938487
  41030      4  .1098877
  41030      5  .2232487
  41040      3  .0382161
  41040      4  .0067069
  41040      5  .0157526
  41050      3  .0289795
  41050      4  .0050859
  41050      5  .0119453
  41070      3  .0089163
  41070      4  .0015648
  41070      5  .0036753
  41110      3  .0227526
  41110      4  .0039931
  41110      5  .0093786
  42010      3  .2419579
  42010      4  .0462685
  42010      5  .1842688
  42090      3  .0239487
  42090      4  .0046864
  42090      5  .0114091
  42150      3  .0962707
  42150      4  .0188389
  42150      5  .0458630
  42160      3  .2492217
  42160      4  .0487692
  42160      5  .1187282
  42200      3  .0230255
  42200      4  .0031991
  42200      5  .0103668
  42210      3  .0540532
  42210      4  .0075100
  42210      5  .0243365
  42290      3  .2351251
  42290      4  .0326676
  42290      5  .1058607
  42440      3  .7206703
  42440      4  .0318096
  42440      5  .1263895
  51020      5  1.130216
  51030      5  .0270394
  51040      5  .0904563
  51490      3  .1800961
  51490      4  .0543608
  51490      5   2.28954
  51590      3  .2900181
  51590      4  .1561903
  51590      5  6.931272
  51640      3  .0505533
  51640      4  .0258861
  51640      5    2.0317
  51710      3  .1618021
  51710      4  .0871391
  51710      5  3.866982
  52110      3  .0603842
  52110      4  .0333520
  52110      5  1.484927
  52120      3  .0333501
  52120      4  .0184202
  52120      5  .8201224
  52210      3  .0633945
  52210      4  .0217923
  52210      5  1.130745
  52250      3  .0677989
  52250      4  .0233064
  52250      5  1.209303
  52260      3  .1090458
  52260      4  .0374853
  52260      5  1.945009
  52270      3  .2115810
  52270      4  .0727326
  52270      5  3.773892
  53010      3  .0125876
  53010      4  .0060471
  53010      5  .3101660
  53020      3  .0114179
  53020      4  .0054852
  53020      5  .2813452
  53030      3  .0998598
  53030      4  .0479728
  53030      5  2.460613
  53040      3  .0569044
  53040      4  .0273370
  53040      5  1.402164
  53060      3  .0091352
  53060      4  .0043886
  53060      5  .2250977
  53100      3  .0417977
  53100      4  .0200797
  53100      5  1.029924
  54010      3  .4087528
  54010      4  .0109574
  54010      5  2.677616
