TZ,Pp1_11,Pp2_11,Pp3_11,Pp4_11,Pp5_11,Pp6_11,Pp10_11,PpTt11,HtTt11,P1Hh11,P2Hh11,P3Hh11,P4Hh11,Con11,FIRE11,TCWh11,Ret11,Bus11,AcIn11,HeEd11,Emp11,PSEn11
Zone,2011_Pop_0to4,2011_Pop 5to12,2011_Pop_13to17,2011_Pop_18to24,2011_Pop_25to44,2011_Pop_45to64,2011_Pop_65plus,2011_total_population,2011_total_hhs,2011_1p_hhs,2011_2p_hhs,2011_3p_hhs,2011_4p_hhs,2011_Const_Mfg,2011_FIRE,2011_TCU_WhSale,2011_Retail,2011_Business_OthServ,2011_Accom_Fd_Info,2011_Health_Ed_PubAd,2011_total_emp,PostSec 2011 FT Enrl
24370,70.48,106.8,197.8,275.04,0,0,412.87,2432.99,707.78,66.62,216.73,150.57,273.86,4.4,126.97,3.74,2.56,92.21,60.85,482.18,772.91,0
24380,61.25,224.84,186.67,299.75,0,0,500.56,2806.12,937,243.36,294.08,157.41,242.15,4.18,46.84,3.55,2.43,26.92,83.38,427.35,594.64,0
24390,83.02,107.33,102.33,145.05,0,0,279.91,1564.07,489.12,104.05,80.25,106.49,198.34,8.68,5.56,7.37,100.95,5.59,5.33,5,138.47,0
24400,43.91,72.08,67.35,151.53,0,0,118.68,1129.59,401.2,98.05,102.46,84.17,116.52,4,32.03,3.39,127.94,115.93,73.67,40.33,397.29,100
24410,125.08,147.84,167.74,321.16,0,0,365.14,2535.22,913.14,211.8,255.94,193.13,252.26,3.98,76.53,3.38,75.27,102.6,146.69,120.46,528.91,0
24420,151.62,273.78,239.21,340.11,0,0,331.42,3127.97,1078.63,292.22,239.05,206.04,341.32,5.05,72.83,4.29,51.43,65.09,3.1,211.07,412.86,0
24430,221.21,297.11,218.13,432.02,0,0,382.86,5213.94,3027.29,1698.24,847.53,282.01,199.52,45.49,279.74,154.42,47.62,791.14,212.25,314.51,1845.18,0
24440,34.78,44.05,58.8,200.63,0,0,126.13,1615.47,1036.65,641.38,291.71,61.21,42.35,15.02,11.32,10.22,8.48,25.79,16.7,22.12,109.66,10
24450,2.05,60.43,15.12,52.93,0,0,43.26,531.6,196.04,46.17,45.95,60.97,42.96,764.1,34.26,369.65,142.22,364.24,159.51,61.64,1895.63,37
24460,0.05,0.05,0.05,1,0,0,0.05,5.11,2.32,0.49,0.91,0.91,0.02,840.95,15.25,653.14,369.16,178.87,126.65,434.27,2618.28,0
24470,0.05,0.05,0.05,1,0,0,0.05,5.11,1.97,0.41,0.77,0.77,0.02,375.6,1.78,1133.44,20.23,26.88,12.81,1.6,1572.35,0
25010,0,0,0,0,0,0,0,0,0,0,0,0,0,11.07,8.34,7.53,6.25,19.01,12.31,16.3,80.81,0
25020,0,0,0,0,0,0,0,0,0,0,0,0,0,234.86,1.72,484.09,1.56,25.94,12.36,1.55,762.07,0
25030,0,0,0,0,0,0,0,0,0,0,0,0,0,222.15,1.84,535.23,16.67,41.55,1.76,41.29,860.48,0
25040,104.04,107.35,83.05,143.62,0,0,356.32,2954.73,1879.93,1102.64,610.72,97.19,69.39,6.47,4.15,82.42,3.77,52.13,79.5,3.73,232.16,0
25050,140.41,138.29,119.35,155.39,0,0,312.37,2295.11,791.25,151.4,206.56,204.78,228.51,65.74,1.53,2.03,1.39,46.2,55.04,92.98,264.92,0
