mat_id, mo393, mo394, mo27, mo28, mo13
mat_name, 250C30, 500C30, WrPr30, OtPk30, BkSc30
mat_desc, 2030_250m_car_share, 2030_500m_car_share, 2030_work_parking, 2030_nonwork_parking, 2030_bike_score
25700, 1, 2, 0.3, 0.25, 4
25710, 0, 2, 0.4, 0.35, 4
25720, 0, 1, 0.3, 0.25, 4
25730, 0, 1, 0.2, 0.25, 4
25740, 1, 2, 0.2, 0.25, 4
25750, 1, 2, 0.3, 0.25, 4
25760, 1, 2, 0.3, 0.25, 4
25770, 1, 2, 0.3, 0.25, 4
25780, 1, 2, 0.4, 0.25, 4
25790, 1, 2, 0.4, 0.25, 4
25800, 1, 2, 0.2, 0.25, 4
25810, 0, 1, 0.2, 0.25, 4
25820, 0, 1, 0.3, 0.25, 4
25830, 0, 1, 0.2, 0.25, 4
25840, 1, 2, 0.4, 0.25, 4
25850, 1, 2, 0.4, 0.25, 4
25860, 1, 2, 0.4, 0.35, 4
25870, 1, 2, 0.4, 0.35, 4
25880, 0, 2, 0.4, 0.35, 4
25890, 1, 2, 0.4, 0.25, 4
25900, 0, 1, 0.4, 0.35, 4
25910, 0, 1, 0.4, 0.35, 4
25920, 0, 2, 0.2, 0.25, 4
26010, 0, 1, 0.2, 0.25, 4
26020, 0, 2, 0.45, 0.25, 4
26030, 2, 3, 0.45, 0.25, 4
26040, 1, 2, 0.45, 0.25, 4
26050, 0, 2, 0, 0.35, 4
26060, 0, 2, 0, 0.35, 4
26070, 0, 1, 0.4, 0.35, 3
26080, 0, 1, 0.4, 0.35, 3
26090, 0, 2, 0.2, 0.25, 4
26100, 2, 3, 0.3, 0.25, 4
26110, 2, 3, 0.45, 0.25, 4
26120, 0, 1, 0.4, 0.35, 3
26130, 0, 1, 0.4, 0.35, 3
26140, 0, 1, 0.4, 0.25, 4
26150, 0, 1, 0.4, 0.25, 4
26160, 2, 3, 0.3, 0.25, 4
26170, 0, 2, 0.2, 0.35, 4
26180, 2, 3, 0.3, 0.25, 4
26190, 2, 3, 0.3, 0.25, 4
26200, 1, 2, 0.45, 0.25, 4
26210, 0, 1, 0.4, 0.35, 4
26220, 0, 1, 0.2, 0.25, 3
26230, 0, 1, 0.4, 0.25, 4
26240, 0, 3, 0.2, 0.35, 4
26250, 0, 1, 0.2, 0.35, 4
26260, 1, 2, 0.45, 0.25, 4
26270, 0, 1, 0.4, 0.35, 4
26280, 0, 1, 0.4, 0.35, 4
26290, 0, 1, 0.2, 0.25, 3
26300, 0, 1, 0.2, 0.25, 3
26310, 0, 1, 0.2, 0.25, 3
26320, 0, 1, 0.4, 0.25, 3
26330, 0, 1, 0.4, 0.25, 3
26340, 0, 2, 0.45, 0.25, 4
26350, 0, 1, 0.2, 0.25, 4
26360, 0, 1, 0.2, 0.25, 4
26370, 0, 1, 0.2, 0.25, 3
26380, 0, 1, 0.2, 0.25, 3
26390, 0, 1, 0.2, 0.25, 3
26400, 0, 1, 0.4, 0.25, 3
26410, 0, 1, 0.45, 0.25, 4
26420, 0, 1, 0.2, 0.25, 4
26430, 0, 1, 0.2, 0.25, 3
26440, 0, 1, 0.2, 0.25, 4
26450, 0, 1, 0.4, 0.25, 4
26460, 0, 1, 0.4, 0.25, 4
26470, 0, 1, 0.4, 0.25, 4
26480, 0, 1, 0.2, 0.25, 3
26490, 0, 1, 0.2, 0.25, 3
26500, 0, 1, 0.2, 0.25, 4
26510, 0, 1, 0.3, 0.25, 3
26520, 0, 1, 0.2, 0.35, 3
26530, 0, 1, 0.2, 0.25, 3
26540, 0, 1, 0.2, 0.25, 3
26550, 0, 1, 0.4, 0.25, 4
26560, 0, 1, 0, 0, 5
26570, 0, 1, 0.2, 0.25, 3
26580, 0, 1, 0.2, 0, 5
26590, 0, 1, 0.25, 0.35, 5
26600, 0, 1, 0.25, 0.35, 5
27010, 0, 0, 0.25, 0.2, 3
27020, 0, 0, 0.25, 0.2, 3
27030, 0, 0, 0.25, 0.2, 3
27040, 0, 0, 0.25, 0.2, 3
27050, 0, 0, 0.25, 0.2, 3
27060, 0, 0, 0.25, 0.2, 3
27070, 0, 0, 0.25, 0.2, 3
27080, 1, 1, 0.25, 0.2, 3
27090, 1, 1, 0.25, 0.2, 3
27100, 0, 0, 0.25, 0.2, 3
27110, 0, 1, 0.35, 0.15, 3
27120, 1, 2, 0.35, 0.15, 3
27130, 1, 1, 0.25, 0.15, 3
27140, 0, 0, 0.25, 0.2, 3
27150, 0, 0, 0.25, 0.2, 3
27160, 2, 2, 1.4, 0.6, 3
27170, 2, 2, 1.4, 0.6, 3
27180, 0, 1, 0.3, 0.15, 3
27190, 0, 1, 0.35, 0.15, 3
27200, 1, 1, 0.25, 0.15, 3
27210, 0, 0, 0.25, 0.15, 3
27220, 0, 0, 0.25, 0.2, 3
27230, 0, 0, 0.25, 0.2, 3
27240, 0, 0, 0.25, 0.2, 3
27250, 0, 0, 0.25, 0.2, 3
27260, 0, 1, 0.3, 0.15, 3
27270, 1, 2, 0.3, 0.15, 3
27280, 1, 2, 0.75, 0.25, 3
27290, 1, 1, 1.4, 0.6, 3
27300, 0, 2, 0.45, 0.2, 3
27310, 0, 1, 0.45, 0.2, 3
27320, 1, 2, 0.45, 0.2, 3
27330, 1, 2, 0.45, 0.2, 3
27340, 1, 2, 0.45, 0.2, 3
27350, 1, 2, 0.75, 0.25, 3
27360, 0, 0, 0.4, 0.15, 3
27370, 0, 0, 0.4, 0.15, 3
27380, 0, 0, 0.25, 0.2, 3
27390, 0, 0, 0.25, 0.2, 3
27400, 0, 0, 0.25, 0.15, 4
27410, 0, 0, 0.25, 0.15, 4
27420, 1, 2, 0.45, 0.2, 3
