c Emme Modeller - Turn Transaction
c Scenario 3000:  2030 Base Network
t turns
c     At   From     To   TPF  Data1  Data2  Data3
a 222703 221604 222701     0      0      0      0
a 222703 221604 223801    -1      0      0      0
a 222703 222701 221604    -1      0      0      0
a 222703 222701 222701     0      0      0      0
a 222703 222701 223801    -1      0      0      0
a 222703 223801 221604    -1      0      0      0
a 222703 223801 222701    -1      0      0      0
a 222703 223801 223801     0      0      0      0
a 222704 221704 221703    -1      0      0      0
a 222704 221704 222702    -1      0      0      0
a 222704 221704 222705    -1      0      0      0
a 222704 221704 223004    -1      0      0      0
a 222704 222702 221703    -1      0      0      0
a 222704 222702 222702     0      0      0      0
a 222704 222702 222705    -1      0      0      0
a 222704 222702 223004    -1      0      0      0
a 222704 222901 221703    -1      0      0      0
a 222704 222901 222702    -1      0      0      0
a 222704 222901 222705    -1      0      0      0
a 222704 222901 223004    -1      0      0      0
a 222704 223004 221703    -1      0      0      0
a 222704 223004 222702    -1      0      0      0
a 222704 223004 222705     0      0      0      0
a 222704 223004 223004     0      0      0      0
a 223003  22300  22300     0      0      0      0
a 223003  22300 223001    -1      0      0      0
a 223003  22300 223102    -1      0      0      0
a 223003 223006  22300    -1      0      0      0
a 223003 223006 223001    -1      0      0      0
a 223003 223006 223102     0      0      0      0
a 223003 224003  22300    -1      0      0      0
a 223003 224003 223001    -1      0      0      0
a 223003 224003 223102    -1      0      0      0
a 223004 222704 222704     0      0      0      0
a 223004 222704 222801    -1      0      0      0
a 223004 222704 222901    -1      0      0      0
a 223004 222704 223001     0      0      0      0
a 223004 222704 223002    -1      0      0      0
a 223004 222704 224001    -1      0      0      0
a 223004 222704 224003    -1      0      0      0
a 223004 222902 222704    -1      0      0      0
a 223004 222902 222801    -1      0      0      0
a 223004 222902 222901    -1      0      0      0
a 223004 222902 223001    -1      0      0      0
a 223004 222902 223002    -1      0      0      0
a 223004 222902 224001    -1      0      0      0
a 223004 222902 224003    -1      0      0      0
a 223004 223001 222704     0      0      0      0
a 223004 223001 222801    -1      0      0      0
a 223004 223001 222901    -1      0      0      0
a 223004 223001 223001     0      0      0      0
a 223004 223001 223002    -1      0      0      0
a 223004 223001 224001    -1      0      0      0
a 223004 223001 224003     0      0      0      0
a 223004 223005 222704    -1      0      0      0
a 223004 223005 222801    -1      0      0      0
a 223004 223005 222901    -1      0      0      0
a 223004 223005 223001    -1      0      0      0
a 223004 223005 223002    -1      0      0      0
a 223004 223005 224001    -1      0      0      0
a 223004 223005 224003    -1      0      0      0
a 223004 224001 222704     0      0      0      0
a 223004 224001 222801    -1      0      0      0
a 223004 224001 222901    -1      0      0      0
a 223004 224001 223001    -1      0      0      0
a 223004 224001 223002    -1      0      0      0
a 223004 224001 224001     0      0      0      0
a 223004 224001 224003    -1      0      0      0
a 223004 224002 222704    -1      0      0      0
a 223004 224002 222801    -1      0      0      0
a 223004 224002 222901    -1      0      0      0
a 223004 224002 223001    -1      0      0      0
a 223004 224002 223002    -1      0      0      0
a 223004 224002 224001    -1      0      0      0
a 223004 224002 224003    -1      0      0      0
a 223004 224003 222704    -1      0      0      0
a 223004 224003 222801    -1      0      0      0
a 223004 224003 222901    -1      0      0      0
a 223004 224003 223001    -1      0      0      0
a 223004 224003 223002    -1      0      0      0
a 223004 224003 224001     0      0      0      0
a 223004 224003 224003     0      0      0      0
a 223301 222105 222105     0      0      0      0
a 223301 222105 223302     0      0      0      0
a 223301 222105 224402    -1      0      0      0
a 223301 224203 222105    -1      0      0      0
a 223301 224203 223302    -1      0      0      0
a 223301 224203 224402    -1      0      0      0
a 223301 224402 222105    -1      0      0      0
a 223301 224402 223302    -1      0      0      0
a 223301 224402 224402     0      0      0      0
a 223702 222402 222402     0      0      0      0
a 223702 222402 225001    -1      0      0      0
a 223702 222402 225103    -1      0      0      0
a 223702 223701 222402    -1      0      0      0
a 223702 223701 225001    -1      0      0      0
a 223702 223701 225103    -1      0      0      0
a 223702 225103 222402    -1      0      0      0
a 223702 225103 225001    -1      0      0      0
a 223702 225103 225103     0      0      0      0
a 223806 222802 223801    -1      0      0      0
a 223806 222802 223805    -1      0      0      0
a 223806 222802 223808    -1      0      0      0
a 223806 222802 224001    -1      0      0      0
a 223806 222802 224004    -1      0      0      0
a 223806 222802 224005    -1      0      0      0
a 223806 223801 223801     0      0      0      0
a 223806 223801 223805    -1      0      0      0
a 223806 223801 223808    -1      0      0      0
a 223806 223801 224001     0      0      0      0
a 223806 223801 224004    -1      0      0      0
a 223806 223801 224005    -1      0      0      0
a 223806 223808 223801     0      0      0      0
a 223806 223808 223805    -1      0      0      0
a 223806 223808 223808     0      0      0      0
a 223806 223808 224001    -1      0      0      0
a 223806 223808 224004    -1      0      0      0
a 223806 223808 224005    -1      0      0      0
a 223806 223901 223801    -1      0      0      0
a 223806 223901 223805    -1      0      0      0
a 223806 223901 223808    -1      0      0      0
a 223806 223901 224001    -1      0      0      0
a 223806 223901 224004    -1      0      0      0
a 223806 223901 224005    -1      0      0      0
a 223806 224001 223801    -1      0      0      0
a 223806 224001 223805    -1      0      0      0
a 223806 224001 223808    -1      0      0      0
