    line   @hdwyam   @hdwymd   @hdwypm  @brdline
'410W1X'         4         0         5         1
'410W2M'         0         7         0         1
'412E1X'        10        21        14         1
'412W1X'        10        21        14         1
'413E1X'         0        21        21         1
'413W1X'        41        21        41         1
'414E1X'         0        41        21         1
'414W1X'         0        21        21         1
'416E1X'        21         0        21         1
'416W1X'        21         0        21         1
'418N1X'        21         0        21         1
'418S1X'        21         0        21         1
'430E1X'         0         0         0         1
'430W1X'         0         0         0         1
'480E1X'        14        10         7         1
'480W1X'         5        10        14         1
'501N1X'        10        21        41         1
'501N2P'         0         0        21         1
'501S1X'        10        21        21         1
'501S2P'         0         0        21         1
'502E1X'         8        10         8         1
'502W1X'         8        10         8         1
'503E1X'         0         0         0         1
'503E2X'        14        21        14         1
'503E3X'        10        21        10         1
'503W1X'         0         0         0         1
'503W2X'        14        21        14         1
'503W3X'        10        21        10         1
'509E1P'         0         0        14         1
'509W1A'        21         0         0         1
'531E1X'        21        21        21         1
'531W1X'        21        21        14         1
'555E1X'         4        21         3         1
'555W1X'         5        21         4         1
'560E1X'        41        41        41         1
'560W1X'        41        41        41         1
'561E1X'        41        41        41         1
'561W1X'        41        41        41         1
'562N1X'        14        14        21         1
'562S1X'        21        21        21         1
'563N1X'        21        41        41         1
'563S1X'        21        41        41         1
'564E1X'        41        41        41         1
'564W1X'        41        41        41         1
'595N1X'        21        21        21         1
'595S1X'        21        21        21         1
'601N1X'         7        21         8         1
'601S1X'         8        21         8         1
'602N1A'        21         0         0         1
'602S1P'         0         0        21         1
'603N1A'        21         0         0         1
'603N2X'        41         0        21         1
'603S1P'         0         0        21         1
'603S2A'        21         0         0         1
'604N1A'        21         0         0         1
'604N2P'         0         0        41         1
'604S1P'         0         0        41         1
'604S2X'        21         0        41         1
'606E1P'         0         0        21         1
'606W1P'         0         0        21         1
'608E1A'        41         0         0         1
'608W1A'        41         0         0         1
'609E1X'        41        41        41         1
'609W1X'        41        41        41         1
'614N1X'         0        41        41         1
'614S1X'         0        41        41         1
'616E1X'        14        21        41         1
'616W1X'        14        21        41         1
'617E1X'        14        21        21         1
'617W1X'        14        21        21         1
'618N1X'        21        21        41         1
'618S1X'        21        21        41         1
'619N1X'         0        41        41         1
'619S1X'         0        41        41         1
'620N1X'        41        21        14         1
'620S1X'        21        41        21         1
'640N1X'        14        21        21         1
'640S1X'        14        21        21         1
'701E1X'        14        10        10         1
'701W1X'        10        10        10         1
'719N1X'        21        21        21         1
'719S1X'        21        21        21         1
'722N1X'        21        21        21         1
'722S1X'        21        21        21         1
'733N1X'        21        21        21         1
'733S1X'        21        21        21         1
'741N1X'        21        21        21         1
'741S1X'        21        21        21         1
'743E1X'        21        41        14         1
'743W1X'        14        41        21         1
'744E1X'        21        41        14         1
'744W1X'        21        41        21         1
'745E1X'        21        41        21         1
'745W1X'         8        41        41         1
'746E1X'        21        41        10         1
'746W1X'        41        41        41         1
'748E1X'        41        41        41         1
'748W1X'         0        41        41         1
'749E1X'         0        41        41         1
'749W1A'        41         0         0         1
'791E1X'        14        21        14         1
'791W1X'        14         0        14         1
'791W2M'         0        21         0         1
'900N1X'        10        15        10         1
'900S1X'        10        15        10         1
'903E1P'         0         0        20         1
'903W1A'        20         0         0         1
'910N1X'         5         7         5         1
'910S1X'         5         7         5         1
'911N1X'         5         7         5         1
'911S1X'         5         7         5         1
'920E1X'       4.5        10       4.5         1
'920W1X'       4.5        10       4.5         1
'920W2A'         0         0         0         1
'921E1X'       4.5         5       4.5         1
'921W1X'       4.5         5       4.5         1
'922E1X'       4.5        10       4.5         1
'922W1X'       4.5        10       4.5         1
'923E1X'         0         0         0         1
'923W1X'         0         0         0         1
'924E1X'         0         0         0         1
'924W1X'         0         0         0         1
'925E1X'         0         0         0         1
'925W1X'         0         0         0         1
'930E1X'         0         0         0         1
'930W1X'         0         0         0         1
'931E1X'         0         0         0         1
'931W1X'         0         0         0         1
'936E1X'         3         5         3         1
'936W1X'         3         5         3         1
'950N1X'         0         0         0         1
'950S1X'         0         0         0         1
'951N1X'         0         0         0         1
'951S1X'         0         0         0         1
'971N1X'         7         7         7         1
'971S1X'         5         7         6         1
'972E1X'         5         7         5         1
'972W1X'         5         7         5         1
'973E1X'         7        10         7         1
'973W1X'         7        10         7         1
'974E1X'         3         3         3         1
'974W1X'         3         3         3         1
'975E1A'         4         0         0         1
