c Emme Modeller - Base Network Transaction
c Scenario 1000:  2011 Base Network
t nodes
c   Node          X-coord          Y-coord   Data1   Data2   Data3 Label
a* 24400     489.47475104    5450.91228001       0       0       0 0000
a* 24410     490.14405384    5450.89954922       0       0       0 0000
a* 24420      490.9916762    5450.90218266       0       0       0 0000
a* 24430     490.14050961    5450.37203463       0       0       0 0000
a* 24440     490.76595708    5450.45545469       0       0       0 0000
a* 24450     491.03560308    5450.30692998       0       0       0 0000
a* 24460     492.01296254    5450.63184368       0       0       0 0000
a* 24470      490.2367152    5449.97480032       0       0       0 0000
a* 25010      496.3726008     5460.0287173       0       0       0 0000
a* 25020     493.54728002    5459.29084243       0       0       0 0000
a* 25030      495.0252122     5459.2386397       0       0       0 0000
a* 25040     495.66055679    5459.42973759       0       0       0 0000
a* 25050     496.34386737    5459.33413857       0       0       0 0000
a* 25060      496.4294987       5459.76066       0       0       0 0000
a* 25070     497.55687782     5459.4353326       0       0       0 0000
a* 25080     498.02921627     5459.3278402       0       0       0 0000
a* 25090     493.12213136    5458.82916223       0       0       0 0000
a* 25100     493.12966858    5459.05138871       0       0       0 0000
a* 25110     493.77272801     5458.8617357       0       0       0 0000
a* 25120     494.50324096    5458.87562304       0       0       0 0000
a* 25130      495.1348582    5458.93880471       0       0       0 0000
a* 25140     495.63093117    5458.91661531       0       0       0 0000
a* 25150      496.3444623    5458.91397113       0       0       0 0000
a* 25160     492.84415703    5458.47305224       0       0       0 0000
a* 25170     493.06184206    5458.47876205       0       0       0 0000
a* 25180     493.33908946    5458.46633662       0       0       0 0000
a* 25190     493.65269411    5458.45573141       0       0       0 0000
a* 25200     493.95226442    5458.45378964       0       0       0 0000
a* 25210     494.23729388    5458.47652402       0       0       0 0000
a* 25220       494.616023     5458.5108805       0       0       0 0000
a* 25230     495.05535612    5458.47159827       0       0       0 0000
a* 25240      495.5195253     5458.4768948       0       0       0 0000
a* 25250     496.34060075    5458.46077552       0       0       0 0000
a* 25260      497.2540339    5458.50556738       0       0       0 0000
a* 25270     498.00479302     5458.5038655       0       0       0 0000
a* 25280     493.02248986    5458.06129304       0       0       0 0000
a* 25290     493.46942455    5457.99934231       0       0       0 0000
a* 25300     498.01023188    5458.09909583       0       0       0 0000
a* 25310      493.9908814     5457.8527221       0       0       0 0000
a* 25320      494.2682295      5457.935177       0       0       0 0000
a* 25330     494.65810951    5457.82587549       0       0       0 0000
a* 25340     495.07953118    5457.81823532       0       0       0 0000
a* 25350     495.55145026     5457.8139176       0       0       0 0000
a* 25360     496.33624579    5457.81794638       0       0       0 0000
a* 25370     497.35353187    5457.84896037       0       0       0 0000
a* 25380     493.48385778    5457.72372428       0       0       0 0000
a* 25390     498.07908811    5457.67834217       0       0       0 0000
a* 25400     493.52085228    5457.34986064       0       0       0 0000
a* 25410     494.66230387    5457.14401126       0       0       0 0000
a* 25420     495.06876904    5457.02169181       0       0       0 0000
a* 25430     495.54525053    5457.01328594       0       0       0 0000
a* 25440     496.33052632     5457.0043424       0       0       0 0000
a* 25450     497.81384569    5457.01322637       0       0       0 0000
a* 25460      498.1694168    5457.00472034       0       0       0 0000
a* 25470     492.81272645    5457.00335958       0       0       0 0000
a* 25480     493.23344865    5456.88157032       0       0       0 0000
a* 25490     493.92323664     5456.8437384       0       0       0 0000
a* 25500     494.62135507    5456.81688732       0       0       0 0000
a* 25510     497.16556038    5456.99746493       0       0       0 0000
a* 25520     492.79243607    5456.50408595       0       0       0 0000
a* 25530     493.16259575    5456.50676027       0       0       0 0000
a* 25540     493.93737418    5456.48047316       0       0       0 0000
a* 25550     494.64154286    5456.47188966       0       0       0 0000
a* 25560     495.19402989    5456.44265335       0       0       0 0000
a* 25570     495.54073321    5456.40423902       0       0       0 0000
a* 25580     496.32159044    5456.34507603       0       0       0 0000
a* 25590      497.0002752    5456.43138659       0       0       0 0000
a* 25600     497.21428311    5456.33880384       0       0       0 0000
a* 25610     497.92639867    5456.47987604       0       0       0 0000
a* 25620     492.99445165    5456.15831751       0       0       0 0000
a* 25630     493.27943351    5456.19718944       0       0       0 0000
a* 25640     494.69608086    5456.02719249       0       0       0 0000
a* 25650     495.06369845    5455.97967314       0       0       0 0000
a* 25660     493.04932259     5455.7747864       0       0       0 0000
a* 25670     494.01344404    5455.86542052       0       0       0 0000
a* 25680     495.54063282    5455.72688764       0       0       0 0000
a* 25690     496.33708232    5455.90220473       0       0       0 0000
a* 25700     497.15530649    5455.95321878       0       0       0 0000
a* 25710     496.33359449     5455.5104787       0       0       0 0000
a* 25720     497.16423823    5455.54485843       0       0       0 0000
a* 25730     497.91691141    5455.73616215       0       0       0 0000
a* 25740     493.04698856    5455.34245198       0       0       0 0000
a* 25750      493.6666884    5455.50016415       0       0       0 0000
a* 25760     494.15978777    5455.34100849       0       0       0 0000
a* 25770     494.71674688    5455.38704954       0       0       0 0000
a* 25780     495.09267003    5455.22203613       0       0       0 0000
a* 25790     495.55105311    5455.06126323       0       0       0 0000
a* 25800     496.13254533    5454.98792759       0       0       0 0000
a* 25810     496.67337507    5454.97869015       0       0       0 0000
a* 25820     497.20305986    5454.98498884       0       0       0 0000
a* 25830     497.90929626    5454.97307767       0       0       0 0000
a* 25840     492.78728488    5454.64962725       0       0       0 0000
a* 25850     493.19230641    5454.77013904       0       0       0 0000
a* 25860     493.65808982     5454.6344732       0       0       0 0000
a* 25870     494.16851603    5454.62786403       0       0       0 0000
a* 25880     494.66555725    5454.67846726       0       0       0 0000
a* 25890     495.59797971     5454.5949948       0       0       0 0000
a* 25900     495.04988368    5454.51845456       0       0       0 0000
a* 25910     495.59265561    5454.36230359       0       0       0 0000
a* 25920     496.06871677    5454.42122922       0       0       0 0000
a* 26010     496.44942878    5454.27765689       0       0       0 0000
a* 26020     497.08101278    5454.46498083       0       0       0 0000
a* 26030     497.67321699    5454.32059039       0       0       0 0000
a* 26040     492.82418642    5453.80120918       0       0       0 0000
a* 26050     493.62496941    5453.75920338       0       0       0 0000
a* 26060     494.12639067    5453.74836403       0       0       0 0000
a* 26070     494.82474916    5453.96540182       0       0       0 0000
a* 26080     495.61729461    5453.96691528       0       0       0 0000
a* 26090     496.84932231    5454.06798481       0       0       0 0000
a* 26100     497.30611026    5453.84990125       0       0       0 0000
a* 26110     498.03317585    5454.07465764       0       0       0 0000
a* 26120     494.81173599    5453.55027603       0       0       0 0000
a* 26130     495.60180342    5453.58573033       0       0       0 0000
a* 26140     496.19721983     5453.7062128       0       0       0 0000
a* 26150     496.66160344     5453.5781909       0       0       0 0000
a* 26160     497.76344961    5453.74101262       0       0       0 0000
a* 26170     497.10289967    5453.51014641       0       0       0 0000
a* 26180     497.68104875    5453.47948201       0       0       0 0000
a* 26190     498.09588517    5453.48322948       0       0       0 0000
