    line   @hdwyam   @hdwymd   @hdwypm
'480W1X'         6        12        16
'501N1X'        12        23        47
'501N2P'         0         0        23
'501S1X'        12        23        23
'501S2P'         0         0        23
'502E1X'         9        12         9
'502W1X'         9        12         9
'503E1X'         0         0         0
'503E2X'        16        23        16
'503E3X'        12        23        12
'503W1X'         0         0         0
'503W2X'        16        23        16
'503W3X'        12        23        12
'509E1P'         0         0        16
'509W1A'        23         0         0
'531E1X'        23        23        23
'531W1X'        23        23        16
'555E1X'         5        23         4
'555W1X'         5        23         4
'560E1X'        47        47        47
'560W1X'        47        47        47
'561E1X'        47        47        47
'561W1X'        47        47        47
'562N1X'        16        16        23
'562S1X'        23        23        23
'563N1X'        23        47        47
'563S1X'        23        47        47
'564E1X'        47        47        47
'564W1X'        47        47        47
'595N1X'        23        23        23
'595S1X'        23        23        23
'601N1X'         8        23         9
'601S1X'         9        23         9
'602N1A'        23         0         0
'602S1P'         0         0        23
'603N1A'        23         0         0
'603N2X'        47         0        23
'603S1P'         0         0        23
'603S2A'        23         0         0
'604N1A'        23         0         0
'604N2P'         0         0        47
'604S1P'         0         0        47
'604S2X'        23         0        47
'606E1P'         0         0        23
'606W1P'         0         0        23
'608E1A'        47         0         0
'608W1A'        47         0         0
'609E1X'        47        47        47
'609W1X'        47        47        47
'614N1X'         0        47        47
'614S1X'         0        47        47
'616E1X'        16        23        47
'616W1X'        16        23        47
'617E1X'        16        23        23
'617W1X'        16        23        23
'618N1X'        23        23        47
'618S1X'        23        23        47
'619N1X'         0        47        47
'619S1X'         0        47        47
'620N1X'        47        23        16
'620S1X'        23        47        23
'640N1X'        16        23        23
'640S1X'        16        23        23
'701E1X'        16        12        12
'701W1X'        12        12        12
'719N1X'        23        23        23
'719S1X'        23        23        23
'722N1X'        23        23        23
'722S1X'        23        23        23
'733N1X'        23        23        23
'733S1X'        23        23        23
'741N1X'        23        23        23
'741S1X'        23        23        23
'743E1X'        23        47        16
'743W1X'        16        47        23
'744E1X'        23        47        16
'744W1X'        23        47        23
'745E1X'        23        47        23
'745W1X'         9        47        47
'746E1X'        23        47        12
'746W1X'        47        47        47
'748E1X'        47        47        47
'748W1X'         0        47        47
'749E1X'         0        47        47
'749W1A'        47         0         0
'791E1X'        16        23        16
'791W1X'        16         0        16
'791W2M'         0        23         0
'900N1X'        10        15        10
'900S1X'        10        15        10
'903E1P'         0         0        20
'903W1A'        20         0         0
'910N1X'         5         7         5
'910S1X'         5         7         5
'911N1X'         5         7         5
'911S1X'         5         7         5
'920E1X'       4.5        10       4.5
'920W1X'       4.5        10       4.5
'920W2A'         0         0         0
'921E1X'       4.5         5       4.5
'921W1X'       4.5         5       4.5
'922E1X'       4.5        10       4.5
'922W1X'       4.5        10       4.5
'923E1X'         0         0         0
'923W1X'         0         0         0
'924E1X'         0         0         0
'924W1X'         0         0         0
'925E1X'         0         0         0
'925W1X'         0         0         0
'930E1X'         0         0         0
'930W1X'         0         0         0
'931E1X'      3.16         6      3.16
'931W1X'      3.16         6      3.16
'950N1X'         0         0         0
'950S1X'         0         0         0
'951N1X'         0         0         0
'951S1X'         0         0         0
'971N1X'         8         8         8
'971S1X'         6         8         7
'972E1X'         6         8         6
'972W1X'         6         8         6
'973E1X'         8        12         8
'973W1X'         8        12         8
'974E1X'         4         4         4
'974W1X'         4         4         4
'975E1A'         4         0         0
'975E1M'         0         6         0
'975E1P'         0         0         6
'975W1A'         4         0         0
'975W1M'         0         6         0
'975W1P'         0         0         6
'976N1X'         6         6         6
'976S1X'         6         6         6
